1 Facility Name,2 Street Address,3 city,4 state,5 ZIP Code,6 Phone,7 Designation,acr_site_id,facility_id,Registry Participant
Akron General Hospital,1 Akron General Ave,Akron,OH,44307-2432,330-344-6450,Lung Cancer Screening Designated Site,10076780,107334,YES
Alleghany Regional Hospital,1 Alleghany Regional Hospital Lane,Low Moor,VA,24457,504-862-6782,LCSR,10087328,104844,YES
Spectrum Health Ludington Hospital,1 Atkinson Dr,Ludington,MI,49431-1906,231-843-2591,LCSR,10063143,106020,YES
Bassett Medical Center,1 Atwell Rd,Cooperstown,NY,13326-1301,607-547-3663,LCSR,10067176,105786,YES
Norton Audubon Hospital,1 Audubon Plaza Dr,Louisville,KY,40217-1318,502-636-7111,LCSR,10067989,105668,YES
Mountainside Medical Center,1 Bay Ave,Montclair,NJ,07042-4837,973-429-6105,Lung Cancer Screening Designated Site,10071698,104085,YES
Boston Medical Center Corporation,1 Boston Medical Ctr Pl,Boston,MA,02118-2908,617-638-6610,LCSR,10072773,101263,YES
Capital Health Medical Center - Hopewell,1 Capital Way,Pennington,NJ,08534-2520,180-063-7237,Lung Cancer Screening Designated Site,10062851,115628,YES
Clara Maass Medical Center,1 Clara Maass Dr,Belleville,NJ,07109-3550,973-450-2047,LCSR,10064831,107694,YES
Cooper University Hospital,1 Cooper Plz,Camden,NJ,08103-1461,856-342-2723,LCSR,10061934,110836,YES
NY Imaging Specialists - NHP,1 Delaware Dr,New Hyde Park,NY,11042-1116,631-675-3000,Lung Cancer Screening Designated Site,10105563,116220,YES
Elliot Hospital,1 Elliot Way,Manchester,NH,03103-3502,603-663-3979,LCSR,10066742,107797,YES
LAHEY MEDICAL CENTER PEABODY,1 Essex Center Dr,Peabody,MA,01960-2901,978-538-4256,Lung Cancer Screening Designated Site,10063093,10897,YES
Lawrence General Hospital,1 General St,Lawrence,MA,01841-2961,978-946-8107,LCSR,10067311,113937,YES
Guthrie Corning Hospital,1 Guthrie Dr,Corning,NY,14830-3696,607-937-7200,LCSR,10062153,101916,YES
Robert Packer Hospital,1 Guthrie Sq,Sayre,PA,18840-1625,570-887-4071,LCSR,10061000,101915,YES
Carilion Rockbridge Community Hospital,1 Health Cir,Lexington,VA,24450-2448,540-458-3321,LCSR,10083462,115429,YES
War Memorial Hospital - child,1 Healthy Way,Berkeley Springs,WV,25411-7463,304-258-1234,LCSR,10070468,109365,YES
Lowell General Hospital Saints Campus,1 Hospital Dr,Lowell,MA,01852-1311,978-937-6023,Lung Cancer Screening Designated Site,10062458,51213,YES
Clarion Hospital,1 Hospital Dr,Clarion,PA,16214-8501,814-226-1532,Lung Cancer Screening Designated Site,10066459,110557,YES
Evangelical Community Hospital,1 Hospital Dr,Lewisburg,PA,17837-9350,570-522-2859,LCSR,10068660,115675,YES
University of Missouri Health Care,1 Hospital Dr,Columbia,MO,65212-1000,573-882-8183,LCSR,10063620,107379,YES
Lowell General Hospital Saints Campus,1 Hospital Dr Attn Dr Lindsay Baron,Lowell,MA,01852,978-458-1411,LCSR,10105961,106048,YES
Crestwood Medical Center,1 Hospital Dr SW,Huntsville,AL,35801-6455,256-429-5608,LCSR,10068173,111128,YES
Stamford Hospital Health System,1 Hospital Plz,Stamford,CT,06902-3602,203-276-1000,LCSR,10064012,105584,YES
Butler Memorial Hospital,1 Hospital Way,Butler,PA,16001-4670,724-284-4425,LCSR,10060248,113936,YES
Ingalls Memorial Hospital,1 Ingalls Dr,Harvey,IL,60426-3558,708-915-5987,Lung Cancer Screening Designated Site,10067185,100763,YES
NM Kishwaukee Hospital,1 Kish Hospital Dr,DeKalb,IL,60115-9602,815-756-1521,LCSR,10067555,114567,YES
