FIPS,County,State
01007,Bibb,Alabama
01009,Blount,Alabama
01015,Calhoun,Alabama
01017,Chambers,Alabama
01019,Cherokee,Alabama
01021,Chilton,Alabama
01027,Clay,Alabama
01029,Cleburne,Alabama
01033,Colbert,Alabama
01037,Coosa,Alabama
01043,Cullman,Alabama
01049,DeKalb,Alabama
01051,Elmore,Alabama
01055,Etowah,Alabama
01057,Fayette,Alabama
01059,Franklin,Alabama
01065,Hale,Alabama
01071,Jackson,Alabama
01073,Jefferson,Alabama
01075,Lamar,Alabama
01077,Lauderdale,Alabama
01079,Lawrence,Alabama
01083,Limestone,Alabama
01087,Macon,Alabama
01089,Madison,Alabama
01093,Marion,Alabama
01095,Marshall,Alabama
01103,Morgan,Alabama
01107,Pickens,Alabama
01111,Randolph,Alabama
01115,St. Clair,Alabama
01117,Shelby,Alabama
01121,Talladega,Alabama
01123,Tallapoosa,Alabama
01125,Tuscaloosa,Alabama
01127,Walker,Alabama
01133,Winston,Alabama
13011,Banks,Georgia
13013,Barrow,Georgia
13015,Bartow,Georgia
13045,Carroll,Georgia
13047,Catoosa,Georgia
13055,Chattooga,Georgia
13057,Cherokee,Georgia
13083,Dade,Georgia
13085,Dawson,Georgia
13097,Douglas,Georgia
13105,Elbert,Georgia
13111,Fannin,Georgia
13115,Floyd,Georgia
13117,Forsyth,Georgia
13119,Franklin,Georgia
13123,Gilmer,Georgia
13129,Gordon,Georgia
13135,Gwinnett,Georgia
13137,Habersham,Georgia
13139,Hall,Georgia
13143,Haralson,Georgia
13147,Hart,Georgia
13149,Heard,Georgia
13157,Jackson,Georgia
13187,Lumpkin,Georgia
13195,Madison,Georgia
13213,Murray,Georgia
13223,Paulding,Georgia
13227,Pickens,Georgia
13233,Polk,Georgia
13241,Rabun,Georgia
13257,Stephens,Georgia
13281,Towns,Georgia
13291,Union,Georgia
13295,Walker,Georgia
13311,White,Georgia
13313,Whitfield,Georgia
21001,Adair,Kentucky
21011,Bath,Kentucky
21013,Bell,Kentucky
21019,Boyd,Kentucky
21025,Breathitt,Kentucky
21043,Carter,Kentucky
21045,Casey,Kentucky
21049,Clark,Kentucky
21051,Clay,Kentucky
21053,Clinton,Kentucky
21057,Cumberland,Kentucky
21061,Edmonson,Kentucky
21063,Elliott,Kentucky
21065,Estill,Kentucky
21069,Fleming,Kentucky
21071,Floyd,Kentucky
21079,Garrard,Kentucky
21087,Green,Kentucky
21089,Greenup,Kentucky
21095,Harlan,Kentucky
21099,Hart,Kentucky
21109,Jackson,Kentucky
21115,Johnson,Kentucky
21119,Knott,Kentucky
21121,Knox,Kentucky
21125,Laurel,Kentucky
21127,Lawrence,Kentucky
21129,Lee,Kentucky
21131,Leslie,Kentucky
21133,Letcher,Kentucky
21135,Lewis,Kentucky
21137,Lincoln,Kentucky
21147,McCreary,Kentucky
21151,Madison,Kentucky
21153,Magoffin,Kentucky
21159,Martin,Kentucky
21165,Menifee,Kentucky
21169,Metcalfe,Kentucky
21171,Monroe,Kentucky
21173,Montgomery,Kentucky
21175,Morgan,Kentucky
21181,Nicholas,Kentucky
21189,Owsley,Kentucky
21193,Perry,Kentucky
21195,Pike,Kentucky
21197,Powell,Kentucky
21199,Pulaski,Kentucky
21201,Robertson,Kentucky
21203,Rockcastle,Kentucky
21205,Rowan,Kentucky
21207,Russell,Kentucky
21231,Wayne,Kentucky
21235,Whitley,Kentucky
21237,Wolfe,Kentucky
24001,Allegany,Maryland
24023,Garrett,Maryland
24043,Washington,Maryland
28003,Alcorn,Mississippi
28009,Benton,Mississippi
28013,Calhoun,Mississippi
28017,Chickasaw,Mississippi
28019,Choctaw,Mississippi
28025,Clay,Mississippi
28057,Itawamba,Mississippi
28069,Kemper,Mississippi
28081,Lee,Mississippi
28087,Lowndes,Mississippi
28093,Marshall,Mississippi
