FIPS,County,State,caShort
4003,Cochise,Arizona,arizona
4019,Pima,Arizona,arizona
4021,Pinal,Arizona,arizona
4023,Santa Cruz,Arizona,arizona
4027,Yuma,Arizona,arizona
48015,Austin,Texas,baylor
48039,Brazoria,Texas,baylor
48071,Chambers,Texas,baylor
48157,Fort Bend,Texas,baylor
48167,Galveston,Texas,baylor
48201,Harris,Texas,baylor
48291,Liberty,Texas,baylor
48339,Montgomery,Texas,baylor
48473,Waller,Texas,baylor
39005,Ashland,Ohio,case_western
39007,Ashtabula,Ohio,case_western
39035,Cuyahoga,Ohio,case_western
39043,Erie,Ohio,case_western
39055,Geauga,Ohio,case_western
39077,Huron,Ohio,case_western
39085,Lake,Ohio,case_western
39093,Lorain,Ohio,case_western
39099,Mahoning,Ohio,case_western
39103,Medina,Ohio,case_western
39133,Portage,Ohio,case_western
39151,Stark,Ohio,case_western
39153,Summit,Ohio,case_western
39155,Trumbull,Ohio,case_western
39169,Wayne,Ohio,case_western
17031,Cook,Illinois,chicago
17043,DuPage,Illinois,chicago
17089,Kane,Illinois,chicago
17091,Kankakee,Illinois,chicago
17097,Lake,Illinois,chicago
17111,McHenry,Illinois,chicago
17197,Will,Illinois,chicago
18089,Lake,Indiana,chicago
18091,LaPorte,Indiana,chicago
18127,Porter,Indiana,chicago
6037,Los Angeles,California,city_of_hope
6059,Orange,California,city_of_hope
6065,Riverside,California,city_of_hope
6071,San Bernardino,California,city_of_hope
8001,Adams,Colorado,colorado
8003,Alamosa,Colorado,colorado
8005,Arapahoe,Colorado,colorado
8007,Archuleta,Colorado,colorado
8009,Baca,Colorado,colorado
8011,Bent,Colorado,colorado
8013,Boulder,Colorado,colorado
8014,Broomfield,Colorado,colorado
8015,Chaffee,Colorado,colorado
8017,Cheyenne,Colorado,colorado
8019,Clear Creek,Colorado,colorado
8021,Conejos,Colorado,colorado
8023,Costilla,Colorado,colorado
8025,Crowley,Colorado,colorado
8027,Custer,Colorado,colorado
8029,Delta,Colorado,colorado
8031,Denver,Colorado,colorado
8033,Dolores,Colorado,colorado
8035,Douglas,Colorado,colorado
8037,Eagle,Colorado,colorado
8039,Elbert,Colorado,colorado
8041,El Paso,Colorado,colorado
8043,Fremont,Colorado,colorado
8045,Garfield,Colorado,colorado
8047,Gilpin,Colorado,colorado
8049,Grand,Colorado,colorado
8051,Gunnison,Colorado,colorado
8053,Hinsdale,Colorado,colorado
8055,Huerfano,Colorado,colorado
8057,Jackson,Colorado,colorado
8059,Jefferson,Colorado,colorado
8061,Kiowa,Colorado,colorado
8063,Kit Carson,Colorado,colorado
8065,Lake,Colorado,colorado
8067,La Plata,Colorado,colorado
8069,Larimer,Colorado,colorado
8071,Las Animas,Colorado,colorado
8073,Lincoln,Colorado,colorado
8075,Logan,Colorado,colorado
8077,Mesa,Colorado,colorado
8079,Mineral,Colorado,colorado
8081,Moffat,Colorado,colorado
8083,Montezuma,Colorado,colorado
8085,Montrose,Colorado,colorado
8087,Morgan,Colorado,colorado
8089,Otero,Colorado,colorado
8091,Ouray,Colorado,colorado
8093,Park,Colorado,colorado
8095,Phillips,Colorado,colorado
8097,Pitkin,Colorado,colorado
8099,Prowers,Colorado,colorado
8101,Pueblo,Colorado,colorado
8103,Rio Blanco,Colorado,colorado
8105,Rio Grande,Colorado,colorado
8107,Routt,Colorado,colorado
8109,Saguache,Colorado,colorado
8111,San Juan,Colorado,colorado
8113,San Miguel,Colorado,colorado
8115,Sedgwick,Colorado,colorado
8117,Summit,Colorado,colorado
8119,Teller,Colorado,colorado
8121,Washington,Colorado,colorado
8123,Weld,Colorado,colorado
8125,Yuma,Colorado,colorado
34003,Bergen,New Jersey,columbia
36005,Bronx,New York,columbia
36047,Kings,New York,columbia
36061,New York,New York,columbia
36081,Queens,New York,columbia
36085,Richmond,New York,columbia
36087,Rockland,New York,columbia
36119,Westchester,New York,columbia
25001,Barnstable,Massachusetts,dana_farber
25003,Berkshire,Massachusetts,dana_farber
25005,Bristol,Massachusetts,dana_farber
25007,Dukes,Massachusetts,dana_farber
25009,Essex,Massachusetts,dana_farber
25011,Franklin,Massachusetts,dana_farber
25013,Hampden,Massachusetts,dana_farber
