"FIPS","County","State","caShort"
"39005","Ashland","Ohio","case_western"
"39007","Ashtabula","Ohio","case_western"
"39035","Cuyahoga","Ohio","case_western"
"39043","Erie","Ohio","case_western"
"39055","Geauga","Ohio","case_western"
"39077","Huron","Ohio","case_western"
"39085","Lake","Ohio","case_western"
"39093","Lorain","Ohio","case_western"
"39099","Mahoning","Ohio","case_western"
"39103","Medina","Ohio","case_western"
"39133","Portage","Ohio","case_western"
"39151","Stark","Ohio","case_western"
"39153","Summit","Ohio","case_western"
"39155","Trumbull","Ohio","case_western"
"39169","Wayne","Ohio","case_western"
