"FIPS","County","State","caShort"
"25001","Barnstable","Massachusetts","dana_farber"
"25003","Berkshire","Massachusetts","dana_farber"
"25005","Bristol","Massachusetts","dana_farber"
"25007","Dukes","Massachusetts","dana_farber"
"25009","Essex","Massachusetts","dana_farber"
"25011","Franklin","Massachusetts","dana_farber"
"25013","Hampden","Massachusetts","dana_farber"
"25015","Hampshire","Massachusetts","dana_farber"
"25017","Middlesex","Massachusetts","dana_farber"
"25019","Nantucket","Massachusetts","dana_farber"
"25021","Norfolk","Massachusetts","dana_farber"
"25023","Plymouth","Massachusetts","dana_farber"
"25025","Suffolk","Massachusetts","dana_farber"
"25027","Worcester","Massachusetts","dana_farber"
