"FIPS","County","State","caShort"
"33001","Belknap","New Hampshire","dartmouth"
"33003","Carroll","New Hampshire","dartmouth"
"33005","Cheshire","New Hampshire","dartmouth"
"33007","Coos","New Hampshire","dartmouth"
"33009","Grafton","New Hampshire","dartmouth"
"33011","Hillsborough","New Hampshire","dartmouth"
"33013","Merrimack","New Hampshire","dartmouth"
"33015","Rockingham","New Hampshire","dartmouth"
"33017","Strafford","New Hampshire","dartmouth"
"33019","Sullivan","New Hampshire","dartmouth"
"50001","Addison","Vermont","dartmouth"
"50003","Bennington","Vermont","dartmouth"
"50005","Caledonia","Vermont","dartmouth"
"50007","Chittenden","Vermont","dartmouth"
"50009","Essex","Vermont","dartmouth"
"50011","Franklin","Vermont","dartmouth"
"50013","Grand Isle","Vermont","dartmouth"
"50015","Lamoille","Vermont","dartmouth"
"50017","Orange","Vermont","dartmouth"
"50019","Orleans","Vermont","dartmouth"
"50021","Rutland","Vermont","dartmouth"
"50023","Washington","Vermont","dartmouth"
"50025","Windham","Vermont","dartmouth"
"50027","Windsor","Vermont","dartmouth"
