"FIPS","County","State","caShort"
"37001","Alamance","North Carolina","duke"
"37007","Anson","North Carolina","duke"
"37015","Bertie","North Carolina","duke"
"37017","Bladen","North Carolina","duke"
"37025","Cabarrus","North Carolina","duke"
"37033","Caswell","North Carolina","duke"
"37037","Chatham","North Carolina","duke"
"37049","Craven","North Carolina","duke"
"37051","Cumberland","North Carolina","duke"
"37057","Davidson","North Carolina","duke"
"37059","Davie","North Carolina","duke"
"37061","Duplin","North Carolina","duke"
"37063","Durham","North Carolina","duke"
"37065","Edgecombe","North Carolina","duke"
"37067","Forsyth","North Carolina","duke"
"37069","Franklin","North Carolina","duke"
"37077","Granville","North Carolina","duke"
"37079","Greene","North Carolina","duke"
"37081","Guilford","North Carolina","duke"
"37083","Halifax","North Carolina","duke"
"37085","Harnett","North Carolina","duke"
"37091","Hertford","North Carolina","duke"
"37093","Hoke","North Carolina","duke"
"37097","Iredell","North Carolina","duke"
"37101","Johnston","North Carolina","duke"
"37103","Jones","North Carolina","duke"
"37105","Lee","North Carolina","duke"
"37107","Lenoir","North Carolina","duke"
"37117","Martin","North Carolina","duke"
"37119","Mecklenburg","North Carolina","duke"
"37123","Montgomery","North Carolina","duke"
"37125","Moore","North Carolina","duke"
"37127","Nash","North Carolina","duke"
"37131","Northampton","North Carolina","duke"
"37135","Orange","North Carolina","duke"
"37141","Pender","North Carolina","duke"
"37145","Person","North Carolina","duke"
"37147","Pitt","North Carolina","duke"
"37151","Randolph","North Carolina","duke"
"37153","Richmond","North Carolina","duke"
"37155","Robeson","North Carolina","duke"
"37157","Rockingham","North Carolina","duke"
"37159","Rowan","North Carolina","duke"
"37163","Sampson","North Carolina","duke"
"37165","Scotland","North Carolina","duke"
"37167","Stanly","North Carolina","duke"
"37169","Stokes","North Carolina","duke"
"37171","Surry","North Carolina","duke"
"37179","Union","North Carolina","duke"
"37181","Vance","North Carolina","duke"
"37183","Wake","North Carolina","duke"
"37185","Warren","North Carolina","duke"
"37191","Wayne","North Carolina","duke"
"37195","Wilson","North Carolina","duke"
"37197","Yadkin","North Carolina","duke"
"45033","Dillon","South Carolina","duke"
"45069","Marlboro","South Carolina","duke"
"51007","Amelia","Virginia","duke"
"51019","Bedford County","Virginia","duke"
"51025","Brunswick","Virginia","duke"
"51031","Campbell","Virginia","duke"
"51035","Carroll","Virginia","duke"
"51037","Charlotte","Virginia","duke"
"51049","Cumberland","Virginia","duke"
"51053","Dinwiddie","Virginia","duke"
"51063","Floyd","Virginia","duke"
"51067","Franklin County","Virginia","duke"
"51081","Greensville","Virginia","duke"
"51083","Halifax","Virginia","duke"
"51089","Henry","Virginia","duke"
"51111","Lunenburg","Virginia","duke"
"51117","Mecklenburg","Virginia","duke"
"51121","Montgomery","Virginia","duke"
"51135","Nottoway","Virginia","duke"
"51141","Patrick","Virginia","duke"
"51143","Pittsylvania","Virginia","duke"
"51147","Prince Edward","Virginia","duke"
"51161","Roanoke County","Virginia","duke"
"51175","Southampton","Virginia","duke"
"51590","Danville","Virginia","duke"
"51595","Emporia","Virginia","duke"
"51680","Lynchburg","Virginia","duke"
"51690","Martinsville","Virginia","duke"
"51770","Roanoke City","Virginia","duke"
"51775","Salem","Virginia","duke"
