"FIPS","County","State","caShort"
"13001","Appling","Georgia","emory"
"13003","Atkinson","Georgia","emory"
"13005","Bacon","Georgia","emory"
"13007","Baker","Georgia","emory"
"13009","Baldwin","Georgia","emory"
"13011","Banks","Georgia","emory"
"13013","Barrow","Georgia","emory"
"13015","Bartow","Georgia","emory"
"13017","Ben Hill","Georgia","emory"
"13019","Berrien","Georgia","emory"
"13021","Bibb","Georgia","emory"
"13023","Bleckley","Georgia","emory"
"13025","Brantley","Georgia","emory"
"13027","Brooks","Georgia","emory"
"13029","Bryan","Georgia","emory"
"13031","Bulloch","Georgia","emory"
"13033","Burke","Georgia","emory"
"13035","Butts","Georgia","emory"
"13037","Calhoun","Georgia","emory"
"13039","Camden","Georgia","emory"
"13043","Candler","Georgia","emory"
"13045","Carroll","Georgia","emory"
"13047","Catoosa","Georgia","emory"
"13049","Charlton","Georgia","emory"
"13051","Chatham","Georgia","emory"
"13053","Chattahoochee","Georgia","emory"
"13055","Chattooga","Georgia","emory"
"13057","Cherokee","Georgia","emory"
"13059","Clarke","Georgia","emory"
"13061","Clay","Georgia","emory"
"13063","Clayton","Georgia","emory"
"13065","Clinch","Georgia","emory"
"13067","Cobb","Georgia","emory"
"13069","Coffee","Georgia","emory"
"13071","Colquitt","Georgia","emory"
"13073","Columbia","Georgia","emory"
"13075","Cook","Georgia","emory"
"13077","Coweta","Georgia","emory"
"13079","Crawford","Georgia","emory"
"13081","Crisp","Georgia","emory"
"13083","Dade","Georgia","emory"
"13085","Dawson","Georgia","emory"
"13087","Decatur","Georgia","emory"
"13089","DeKalb","Georgia","emory"
"13091","Dodge","Georgia","emory"
"13093","Dooly","Georgia","emory"
"13095","Dougherty","Georgia","emory"
"13097","Douglas","Georgia","emory"
"13099","Early","Georgia","emory"
"13101","Echols","Georgia","emory"
"13103","Effingham","Georgia","emory"
"13105","Elbert","Georgia","emory"
"13107","Emanuel","Georgia","emory"
"13109","Evans","Georgia","emory"
"13111","Fannin","Georgia","emory"
"13113","Fayette","Georgia","emory"
"13115","Floyd","Georgia","emory"
"13117","Forsyth","Georgia","emory"
"13119","Franklin","Georgia","emory"
"13121","Fulton","Georgia","emory"
"13123","Gilmer","Georgia","emory"
"13125","Glascock","Georgia","emory"
"13127","Glynn","Georgia","emory"
"13129","Gordon","Georgia","emory"
"13131","Grady","Georgia","emory"
"13133","Greene","Georgia","emory"
"13135","Gwinnett","Georgia","emory"
"13137","Habersham","Georgia","emory"
"13139","Hall","Georgia","emory"
"13141","Hancock","Georgia","emory"
"13143","Haralson","Georgia","emory"
"13145","Harris","Georgia","emory"
"13147","Hart","Georgia","emory"
"13149","Heard","Georgia","emory"
"13151","Henry","Georgia","emory"
"13153","Houston","Georgia","emory"
"13155","Irwin","Georgia","emory"
"13157","Jackson","Georgia","emory"
"13159","Jasper","Georgia","emory"
"13161","Jeff Davis","Georgia","emory"
"13163","Jefferson","Georgia","emory"
"13165","Jenkins","Georgia","emory"
"13167","Johnson","Georgia","emory"
"13169","Jones","Georgia","emory"
"13171","Lamar","Georgia","emory"
"13173","Lanier","Georgia","emory"
"13175","Laurens","Georgia","emory"
"13177","Lee","Georgia","emory"
"13179","Liberty","Georgia","emory"
"13181","Lincoln","Georgia","emory"
"13183","Long","Georgia","emory"
"13185","Lowndes","Georgia","emory"
"13187","Lumpkin","Georgia","emory"
"13189","McDuffie","Georgia","emory"
"13191","McIntosh","Georgia","emory"
"13193","Macon","Georgia","emory"
"13195","Madison","Georgia","emory"
"13197","Marion","Georgia","emory"
"13199","Meriwether","Georgia","emory"
"13201","Miller","Georgia","emory"
"13205","Mitchell","Georgia","emory"
"13207","Monroe","Georgia","emory"
"13209","Montgomery","Georgia","emory"
"13211","Morgan","Georgia","emory"
"13213","Murray","Georgia","emory"
"13215","Muscogee","Georgia","emory"
"13217","Newton","Georgia","emory"
"13219","Oconee","Georgia","emory"
"13221","Oglethorpe","Georgia","emory"
"13223","Paulding","Georgia","emory"
"13225","Peach","Georgia","emory"
"13227","Pickens","Georgia","emory"
"13229","Pierce","Georgia","emory"
"13231","Pike","Georgia","emory"
"13233","Polk","Georgia","emory"
"13235","Pulaski","Georgia","emory"
"13237","Putnam","Georgia","emory"
"13239","Quitman","Georgia","emory"
"13241","Rabun","Georgia","emory"
"13243","Randolph","Georgia","emory"
"13245","Richmond","Georgia","emory"
"13247","Rockdale","Georgia","emory"
"13249","Schley","Georgia","emory"
"13251","Screven","Georgia","emory"
"13253","Seminole","Georgia","emory"
"13255","Spalding","Georgia","emory"
"13257","Stephens","Georgia","emory"
"13259","Stewart","Georgia","emory"
"13261","Sumter","Georgia","emory"
"13263","Talbot","Georgia","emory"
"13265","Taliaferro","Georgia","emory"
"13267","Tattnall","Georgia","emory"
"13269","Taylor","Georgia","emory"
"13271","Telfair","Georgia","emory"
"13273","Terrell","Georgia","emory"
"13275","Thomas","Georgia","emory"
"13277","Tift","Georgia","emory"
"13279","Toombs","Georgia","emory"
