"FIPS","County","State","caShort"
"16001","Ada","Idaho","huntsman"
"16003","Adams","Idaho","huntsman"
"16005","Bannock","Idaho","huntsman"
"16007","Bear Lake","Idaho","huntsman"
"16009","Benewah","Idaho","huntsman"
"16011","Bingham","Idaho","huntsman"
"16013","Blaine","Idaho","huntsman"
"16015","Boise","Idaho","huntsman"
"16017","Bonner","Idaho","huntsman"
"16019","Bonneville","Idaho","huntsman"
"16021","Boundary","Idaho","huntsman"
"16023","Butte","Idaho","huntsman"
"16025","Camas","Idaho","huntsman"
"16027","Canyon","Idaho","huntsman"
"16029","Caribou","Idaho","huntsman"
"16031","Cassia","Idaho","huntsman"
"16033","Clark","Idaho","huntsman"
"16035","Clearwater","Idaho","huntsman"
"16037","Custer","Idaho","huntsman"
"16039","Elmore","Idaho","huntsman"
"16041","Franklin","Idaho","huntsman"
"16043","Fremont","Idaho","huntsman"
"16045","Gem","Idaho","huntsman"
"16047","Gooding","Idaho","huntsman"
"16049","Idaho","Idaho","huntsman"
"16051","Jefferson","Idaho","huntsman"
"16053","Jerome","Idaho","huntsman"
"16055","Kootenai","Idaho","huntsman"
"16057","Latah","Idaho","huntsman"
"16059","Lemhi","Idaho","huntsman"
"16061","Lewis","Idaho","huntsman"
"16063","Lincoln","Idaho","huntsman"
"16065","Madison","Idaho","huntsman"
"16067","Minidoka","Idaho","huntsman"
"16069","Nez Perce","Idaho","huntsman"
"16071","Oneida","Idaho","huntsman"
"16073","Owyhee","Idaho","huntsman"
"16075","Payette","Idaho","huntsman"
"16077","Power","Idaho","huntsman"
"16079","Shoshone","Idaho","huntsman"
"16081","Teton","Idaho","huntsman"
"16083","Twin Falls","Idaho","huntsman"
"16085","Valley","Idaho","huntsman"
"16087","Washington","Idaho","huntsman"
"30001","Beaverhead","Montana","huntsman"
"30003","Big Horn","Montana","huntsman"
"30005","Blaine","Montana","huntsman"
"30007","Broadwater","Montana","huntsman"
"30009","Carbon","Montana","huntsman"
"30011","Carter","Montana","huntsman"
"30013","Cascade","Montana","huntsman"
"30015","Chouteau","Montana","huntsman"
"30017","Custer","Montana","huntsman"
"30019","Daniels","Montana","huntsman"
"30021","Dawson","Montana","huntsman"
"30023","Deer Lodge","Montana","huntsman"
"30025","Fallon","Montana","huntsman"
"30027","Fergus","Montana","huntsman"
"30029","Flathead","Montana","huntsman"
"30031","Gallatin","Montana","huntsman"
"30033","Garfield","Montana","huntsman"
"30035","Glacier","Montana","huntsman"
"30037","Golden Valley","Montana","huntsman"
"30039","Granite","Montana","huntsman"
"30041","Hill","Montana","huntsman"
"30043","Jefferson","Montana","huntsman"
"30045","Judith Basin","Montana","huntsman"
"30047","Lake","Montana","huntsman"
"30049","Lewis and Clark","Montana","huntsman"
"30051","Liberty","Montana","huntsman"
"30053","Lincoln","Montana","huntsman"
"30055","McCone","Montana","huntsman"
"30057","Madison","Montana","huntsman"
"30059","Meagher","Montana","huntsman"
"30061","Mineral","Montana","huntsman"
"30063","Missoula","Montana","huntsman"
"30065","Musselshell","Montana","huntsman"
"30067","Park","Montana","huntsman"
"30069","Petroleum","Montana","huntsman"
"30071","Phillips","Montana","huntsman"
"30073","Pondera","Montana","huntsman"
"30075","Powder River","Montana","huntsman"
"30077","Powell","Montana","huntsman"
"30079","Prairie","Montana","huntsman"
"30081","Ravalli","Montana","huntsman"
"30083","Richland","Montana","huntsman"
"30085","Roosevelt","Montana","huntsman"
"30087","Rosebud","Montana","huntsman"
"30089","Sanders","Montana","huntsman"
"30091","Sheridan","Montana","huntsman"
"30093","Silver Bow","Montana","huntsman"
"30095","Stillwater","Montana","huntsman"
"30097","Sweet Grass","Montana","huntsman"
"30099","Teton","Montana","huntsman"
"30101","Toole","Montana","huntsman"
"30103","Treasure","Montana","huntsman"
"30105","Valley","Montana","huntsman"
"30107","Wheatland","Montana","huntsman"
"30109","Wibaux","Montana","huntsman"
"30111","Yellowstone","Montana","huntsman"
"32001","Churchill","Nevada","huntsman"
"32003","Clark","Nevada","huntsman"
"32005","Douglas","Nevada","huntsman"
"32007","Elko","Nevada","huntsman"
"32009","Esmeralda","Nevada","huntsman"
"32011","Eureka","Nevada","huntsman"
"32013","Humboldt","Nevada","huntsman"
"32015","Lander","Nevada","huntsman"
"32017","Lincoln","Nevada","huntsman"
"32019","Lyon","Nevada","huntsman"
"32021","Mineral","Nevada","huntsman"
"32023","Nye","Nevada","huntsman"
"32027","Pershing","Nevada","huntsman"
"32029","Storey","Nevada","huntsman"
"32031","Washoe","Nevada","huntsman"
"32033","White Pine","Nevada","huntsman"
"32510","Carson City","Nevada","huntsman"
"49001","Beaver","Utah","huntsman"
"49003","Box Elder","Utah","huntsman"
"49005","Cache","Utah","huntsman"
"49007","Carbon","Utah","huntsman"
"49009","Daggett","Utah","huntsman"
"49011","Davis","Utah","huntsman"
"49013","Duchesne","Utah","huntsman"
"49015","Emery","Utah","huntsman"
"49017","Garfield","Utah","huntsman"
"49019","Grand","Utah","huntsman"
"49021","Iron","Utah","huntsman"
"49023","Juab","Utah","huntsman"
"49025","Kane","Utah","huntsman"
"49027","Millard","Utah","huntsman"
"49029","Morgan","Utah","huntsman"
"49031","Piute","Utah","huntsman"
"49033","Rich","Utah","huntsman"
"49035","Salt Lake","Utah","huntsman"
"49037","San Juan","Utah","huntsman"
"49039","Sanpete","Utah","huntsman"
"49041","Sevier","Utah","huntsman"
"49043","Summit","Utah","huntsman"
