"FIPS","County","State","caShort"
"19001","Adair","Iowa","iowa"
"19003","Adams","Iowa","iowa"
"19005","Allamakee","Iowa","iowa"
"19007","Appanoose","Iowa","iowa"
"19009","Audubon","Iowa","iowa"
"19011","Benton","Iowa","iowa"
"19013","Black Hawk","Iowa","iowa"
"19015","Boone","Iowa","iowa"
"19017","Bremer","Iowa","iowa"
"19019","Buchanan","Iowa","iowa"
"19021","Buena Vista","Iowa","iowa"
"19023","Butler","Iowa","iowa"
"19025","Calhoun","Iowa","iowa"
"19027","Carroll","Iowa","iowa"
"19029","Cass","Iowa","iowa"
"19031","Cedar","Iowa","iowa"
"19033","Cerro Gordo","Iowa","iowa"
"19035","Cherokee","Iowa","iowa"
"19037","Chickasaw","Iowa","iowa"
"19039","Clarke","Iowa","iowa"
"19041","Clay","Iowa","iowa"
"19043","Clayton","Iowa","iowa"
"19045","Clinton","Iowa","iowa"
"19047","Crawford","Iowa","iowa"
"19049","Dallas","Iowa","iowa"
"19051","Davis","Iowa","iowa"
"19053","Decatur","Iowa","iowa"
"19055","Delaware","Iowa","iowa"
"19057","Des Moines","Iowa","iowa"
"19059","Dickinson","Iowa","iowa"
"19061","Dubuque","Iowa","iowa"
"19063","Emmet","Iowa","iowa"
"19065","Fayette","Iowa","iowa"
"19067","Floyd","Iowa","iowa"
"19069","Franklin","Iowa","iowa"
"19071","Fremont","Iowa","iowa"
"19073","Greene","Iowa","iowa"
"19075","Grundy","Iowa","iowa"
"19077","Guthrie","Iowa","iowa"
"19079","Hamilton","Iowa","iowa"
"19081","Hancock","Iowa","iowa"
"19083","Hardin","Iowa","iowa"
"19085","Harrison","Iowa","iowa"
"19087","Henry","Iowa","iowa"
"19089","Howard","Iowa","iowa"
"19091","Humboldt","Iowa","iowa"
"19093","Ida","Iowa","iowa"
"19095","Iowa","Iowa","iowa"
"19097","Jackson","Iowa","iowa"
"19099","Jasper","Iowa","iowa"
"19101","Jefferson","Iowa","iowa"
"19103","Johnson","Iowa","iowa"
"19105","Jones","Iowa","iowa"
"19107","Keokuk","Iowa","iowa"
"19109","Kossuth","Iowa","iowa"
"19111","Lee","Iowa","iowa"
"19113","Linn","Iowa","iowa"
"19115","Louisa","Iowa","iowa"
"19117","Lucas","Iowa","iowa"
"19119","Lyon","Iowa","iowa"
"19121","Madison","Iowa","iowa"
"19123","Mahaska","Iowa","iowa"
"19125","Marion","Iowa","iowa"
"19127","Marshall","Iowa","iowa"
"19129","Mills","Iowa","iowa"
"19131","Mitchell","Iowa","iowa"
"19133","Monona","Iowa","iowa"
"19135","Monroe","Iowa","iowa"
"19137","Montgomery","Iowa","iowa"
"19139","Muscatine","Iowa","iowa"
"19141","O'Brien","Iowa","iowa"
"19143","Osceola","Iowa","iowa"
"19145","Page","Iowa","iowa"
"19147","Palo Alto","Iowa","iowa"
"19149","Plymouth","Iowa","iowa"
"19151","Pocahontas","Iowa","iowa"
"19153","Polk","Iowa","iowa"
"19155","Pottawattamie","Iowa","iowa"
"19157","Poweshiek","Iowa","iowa"
"19159","Ringgold","Iowa","iowa"
"19161","Sac","Iowa","iowa"
"19163","Scott","Iowa","iowa"
"19165","Shelby","Iowa","iowa"
"19167","Sioux","Iowa","iowa"
"19169","Story","Iowa","iowa"
"19171","Tama","Iowa","iowa"
"19173","Taylor","Iowa","iowa"
"19175","Union","Iowa","iowa"
"19177","Van Buren","Iowa","iowa"
"19179","Wapello","Iowa","iowa"
"19181","Warren","Iowa","iowa"
"19183","Washington","Iowa","iowa"
"19185","Wayne","Iowa","iowa"
"19187","Webster","Iowa","iowa"
"19189","Winnebago","Iowa","iowa"
"19191","Winneshiek","Iowa","iowa"
"19193","Woodbury","Iowa","iowa"
"19195","Worth","Iowa","iowa"
"19197","Wright","Iowa","iowa"
