"FIPS","County","State","caShort"
"18001","Adams","Indiana","iu"
"18003","Allen","Indiana","iu"
"18005","Bartholomew","Indiana","iu"
"18007","Benton","Indiana","iu"
"18009","Blackford","Indiana","iu"
"18011","Boone","Indiana","iu"
"18013","Brown","Indiana","iu"
"18015","Carroll","Indiana","iu"
"18017","Cass","Indiana","iu"
"18019","Clark","Indiana","iu"
"18021","Clay","Indiana","iu"
"18023","Clinton","Indiana","iu"
"18025","Crawford","Indiana","iu"
"18027","Daviess","Indiana","iu"
"18029","Dearborn","Indiana","iu"
"18031","Decatur","Indiana","iu"
"18033","DeKalb","Indiana","iu"
"18035","Delaware","Indiana","iu"
"18037","Dubois","Indiana","iu"
"18039","Elkhart","Indiana","iu"
"18041","Fayette","Indiana","iu"
"18043","Floyd","Indiana","iu"
"18045","Fountain","Indiana","iu"
"18047","Franklin","Indiana","iu"
"18049","Fulton","Indiana","iu"
"18051","Gibson","Indiana","iu"
"18053","Grant","Indiana","iu"
"18055","Greene","Indiana","iu"
"18057","Hamilton","Indiana","iu"
"18059","Hancock","Indiana","iu"
"18061","Harrison","Indiana","iu"
"18063","Hendricks","Indiana","iu"
"18065","Henry","Indiana","iu"
"18067","Howard","Indiana","iu"
"18069","Huntington","Indiana","iu"
"18071","Jackson","Indiana","iu"
"18073","Jasper","Indiana","iu"
"18075","Jay","Indiana","iu"
"18077","Jefferson","Indiana","iu"
"18079","Jennings","Indiana","iu"
"18081","Johnson","Indiana","iu"
"18083","Knox","Indiana","iu"
"18085","Kosciusko","Indiana","iu"
"18087","LaGrange","Indiana","iu"
"18089","Lake","Indiana","iu"
"18091","LaPorte","Indiana","iu"
"18093","Lawrence","Indiana","iu"
"18095","Madison","Indiana","iu"
"18097","Marion","Indiana","iu"
"18099","Marshall","Indiana","iu"
"18101","Martin","Indiana","iu"
"18103","Miami","Indiana","iu"
"18105","Monroe","Indiana","iu"
"18107","Montgomery","Indiana","iu"
"18109","Morgan","Indiana","iu"
"18111","Newton","Indiana","iu"
"18113","Noble","Indiana","iu"
"18115","Ohio","Indiana","iu"
"18117","Orange","Indiana","iu"
"18119","Owen","Indiana","iu"
"18121","Parke","Indiana","iu"
"18123","Perry","Indiana","iu"
"18125","Pike","Indiana","iu"
"18127","Porter","Indiana","iu"
"18129","Posey","Indiana","iu"
"18131","Pulaski","Indiana","iu"
"18133","Putnam","Indiana","iu"
"18135","Randolph","Indiana","iu"
"18137","Ripley","Indiana","iu"
"18139","Rush","Indiana","iu"
"18141","St. Joseph","Indiana","iu"
"18143","Scott","Indiana","iu"
"18145","Shelby","Indiana","iu"
"18147","Spencer","Indiana","iu"
"18149","Starke","Indiana","iu"
"18151","Steuben","Indiana","iu"
"18153","Sullivan","Indiana","iu"
"18155","Switzerland","Indiana","iu"
"18157","Tippecanoe","Indiana","iu"
"18159","Tipton","Indiana","iu"
"18161","Union","Indiana","iu"
"18163","Vanderburgh","Indiana","iu"
"18165","Vermillion","Indiana","iu"
"18167","Vigo","Indiana","iu"
"18169","Wabash","Indiana","iu"
"18171","Warren","Indiana","iu"
"18173","Warrick","Indiana","iu"
"18175","Washington","Indiana","iu"
"18177","Wayne","Indiana","iu"
"18179","Wells","Indiana","iu"
"18181","White","Indiana","iu"
"18183","Whitley","Indiana","iu"
