"FIPS","County","State","caShort"
"24001","Allegany","Maryland","jhu"
"24003","Anne Arundel","Maryland","jhu"
"24005","Baltimore County","Maryland","jhu"
"24009","Calvert","Maryland","jhu"
"24011","Caroline","Maryland","jhu"
"24013","Carroll","Maryland","jhu"
"24015","Cecil","Maryland","jhu"
"24017","Charles","Maryland","jhu"
"24019","Dorchester","Maryland","jhu"
"24021","Frederick","Maryland","jhu"
"24023","Garrett","Maryland","jhu"
"24025","Harford","Maryland","jhu"
"24027","Howard","Maryland","jhu"
"24029","Kent","Maryland","jhu"
"24031","Montgomery","Maryland","jhu"
"24033","Prince George's","Maryland","jhu"
"24035","Queen Anne's","Maryland","jhu"
"24037","St. Mary's","Maryland","jhu"
"24039","Somerset","Maryland","jhu"
"24041","Talbot","Maryland","jhu"
"24043","Washington","Maryland","jhu"
"24045","Wicomico","Maryland","jhu"
"24047","Worcester","Maryland","jhu"
"24510","Baltimore City","Maryland","jhu"
