FIPS,County,State,caShort
4013,Maricopa,Arizona,mayo
12003,Baker,Florida,mayo
12019,Clay,Florida,mayo
12031,Duval,Florida,mayo
12035,Flagler,Florida,mayo
12089,Nassau,Florida,mayo
12107,Putnam,Florida,mayo
12109,St. Johns,Florida,mayo
19005,Allamakee,Iowa,mayo
19033,Cerro Gordo,Iowa,mayo
19037,Chickasaw,Iowa,mayo
19063,Emmet,Iowa,mayo
19067,Floyd,Iowa,mayo
19081,Hancock,Iowa,mayo
19089,Howard,Iowa,mayo
19109,Kossuth,Iowa,mayo
19131,Mitchell,Iowa,mayo
19189,Winnebago,Iowa,mayo
19191,Winneshiek,Iowa,mayo
19195,Worth,Iowa,mayo
27013,Blue Earth,Minnesota,mayo
27015,Brown,Minnesota,mayo
27039,Dodge,Minnesota,mayo
27043,Faribault,Minnesota,mayo
27045,Fillmore,Minnesota,mayo
27047,Freeborn,Minnesota,mayo
27049,Goodhue,Minnesota,mayo
27055,Houston,Minnesota,mayo
27079,Le Sueur,Minnesota,mayo
27091,Martin,Minnesota,mayo
27099,Mower,Minnesota,mayo
27103,Nicollet,Minnesota,mayo
27109,Olmsted,Minnesota,mayo
27127,Redwood,Minnesota,mayo
27131,Rice,Minnesota,mayo
27139,Scott,Minnesota,mayo
27147,Steele,Minnesota,mayo
27157,Wabasha,Minnesota,mayo
27161,Waseca,Minnesota,mayo
27165,Watonwan,Minnesota,mayo
27169,Winona,Minnesota,mayo
55011,Buffalo,Wisconsin,mayo
55017,Chippewa,Wisconsin,mayo
55023,Crawford,Wisconsin,mayo
55033,Dunn,Wisconsin,mayo
55035,Eau Claire,Wisconsin,mayo
55063,La Crosse,Wisconsin,mayo
55091,Pepin,Wisconsin,mayo
55093,Pierce,Wisconsin,mayo
55121,Trempealeau,Wisconsin,mayo
55123,Vernon,Wisconsin,mayo
