"FIPS","County","State","caShort"
"48001","Anderson","Texas","mda"
"48003","Andrews","Texas","mda"
"48005","Angelina","Texas","mda"
"48007","Aransas","Texas","mda"
"48009","Archer","Texas","mda"
"48011","Armstrong","Texas","mda"
"48013","Atascosa","Texas","mda"
"48015","Austin","Texas","mda"
"48017","Bailey","Texas","mda"
"48019","Bandera","Texas","mda"
"48021","Bastrop","Texas","mda"
"48023","Baylor","Texas","mda"
"48025","Bee","Texas","mda"
"48027","Bell","Texas","mda"
"48029","Bexar","Texas","mda"
"48031","Blanco","Texas","mda"
"48033","Borden","Texas","mda"
"48035","Bosque","Texas","mda"
"48037","Bowie","Texas","mda"
"48039","Brazoria","Texas","mda"
"48041","Brazos","Texas","mda"
"48043","Brewster","Texas","mda"
"48045","Briscoe","Texas","mda"
"48047","Brooks","Texas","mda"
"48049","Brown","Texas","mda"
"48051","Burleson","Texas","mda"
"48053","Burnet","Texas","mda"
"48055","Caldwell","Texas","mda"
"48057","Calhoun","Texas","mda"
"48059","Callahan","Texas","mda"
"48061","Cameron","Texas","mda"
"48063","Camp","Texas","mda"
"48065","Carson","Texas","mda"
"48067","Cass","Texas","mda"
"48069","Castro","Texas","mda"
"48071","Chambers","Texas","mda"
"48073","Cherokee","Texas","mda"
"48075","Childress","Texas","mda"
"48077","Clay","Texas","mda"
"48079","Cochran","Texas","mda"
"48081","Coke","Texas","mda"
"48083","Coleman","Texas","mda"
"48085","Collin","Texas","mda"
"48087","Collingsworth","Texas","mda"
"48089","Colorado","Texas","mda"
"48091","Comal","Texas","mda"
"48093","Comanche","Texas","mda"
"48095","Concho","Texas","mda"
"48097","Cooke","Texas","mda"
"48099","Coryell","Texas","mda"
"48101","Cottle","Texas","mda"
"48103","Crane","Texas","mda"
"48105","Crockett","Texas","mda"
"48107","Crosby","Texas","mda"
"48109","Culberson","Texas","mda"
"48111","Dallam","Texas","mda"
"48113","Dallas","Texas","mda"
"48115","Dawson","Texas","mda"
"48117","Deaf Smith","Texas","mda"
"48119","Delta","Texas","mda"
"48121","Denton","Texas","mda"
"48123","DeWitt","Texas","mda"
"48125","Dickens","Texas","mda"
"48127","Dimmit","Texas","mda"
"48129","Donley","Texas","mda"
"48131","Duval","Texas","mda"
"48133","Eastland","Texas","mda"
"48135","Ector","Texas","mda"
"48137","Edwards","Texas","mda"
"48139","Ellis","Texas","mda"
"48141","El Paso","Texas","mda"
"48143","Erath","Texas","mda"
"48145","Falls","Texas","mda"
"48147","Fannin","Texas","mda"
"48149","Fayette","Texas","mda"
"48151","Fisher","Texas","mda"
"48153","Floyd","Texas","mda"
"48155","Foard","Texas","mda"
"48157","Fort Bend","Texas","mda"
"48159","Franklin","Texas","mda"
"48161","Freestone","Texas","mda"
"48163","Frio","Texas","mda"
"48165","Gaines","Texas","mda"
