"FIPS","County","State","caShort"
"27001","Aitkin","Minnesota","minnesota"
"27003","Anoka","Minnesota","minnesota"
"27005","Becker","Minnesota","minnesota"
"27007","Beltrami","Minnesota","minnesota"
"27009","Benton","Minnesota","minnesota"
"27011","Big Stone","Minnesota","minnesota"
"27013","Blue Earth","Minnesota","minnesota"
"27015","Brown","Minnesota","minnesota"
"27017","Carlton","Minnesota","minnesota"
"27019","Carver","Minnesota","minnesota"
"27021","Cass","Minnesota","minnesota"
"27023","Chippewa","Minnesota","minnesota"
"27025","Chisago","Minnesota","minnesota"
"27027","Clay","Minnesota","minnesota"
"27029","Clearwater","Minnesota","minnesota"
"27031","Cook","Minnesota","minnesota"
"27033","Cottonwood","Minnesota","minnesota"
"27035","Crow Wing","Minnesota","minnesota"
"27037","Dakota","Minnesota","minnesota"
"27039","Dodge","Minnesota","minnesota"
"27041","Douglas","Minnesota","minnesota"
"27043","Faribault","Minnesota","minnesota"
"27045","Fillmore","Minnesota","minnesota"
"27047","Freeborn","Minnesota","minnesota"
"27049","Goodhue","Minnesota","minnesota"
"27051","Grant","Minnesota","minnesota"
"27053","Hennepin","Minnesota","minnesota"
"27055","Houston","Minnesota","minnesota"
"27057","Hubbard","Minnesota","minnesota"
"27059","Isanti","Minnesota","minnesota"
"27061","Itasca","Minnesota","minnesota"
"27063","Jackson","Minnesota","minnesota"
"27065","Kanabec","Minnesota","minnesota"
"27067","Kandiyohi","Minnesota","minnesota"
"27069","Kittson","Minnesota","minnesota"
"27071","Koochiching","Minnesota","minnesota"
"27073","Lac qui Parle","Minnesota","minnesota"
"27075","Lake","Minnesota","minnesota"
"27077","Lake of the Woods","Minnesota","minnesota"
"27079","Le Sueur","Minnesota","minnesota"
"27081","Lincoln","Minnesota","minnesota"
"27083","Lyon","Minnesota","minnesota"
"27085","McLeod","Minnesota","minnesota"
"27087","Mahnomen","Minnesota","minnesota"
"27089","Marshall","Minnesota","minnesota"
"27091","Martin","Minnesota","minnesota"
"27093","Meeker","Minnesota","minnesota"
"27095","Mille Lacs","Minnesota","minnesota"
"27097","Morrison","Minnesota","minnesota"
"27099","Mower","Minnesota","minnesota"
"27101","Murray","Minnesota","minnesota"
"27103","Nicollet","Minnesota","minnesota"
"27105","Nobles","Minnesota","minnesota"
"27107","Norman","Minnesota","minnesota"
"27109","Olmsted","Minnesota","minnesota"
"27111","Otter Tail","Minnesota","minnesota"
"27113","Pennington","Minnesota","minnesota"
"27115","Pine","Minnesota","minnesota"
"27117","Pipestone","Minnesota","minnesota"
"27119","Polk","Minnesota","minnesota"
"27121","Pope","Minnesota","minnesota"
"27123","Ramsey","Minnesota","minnesota"
"27125","Red Lake","Minnesota","minnesota"
"27127","Redwood","Minnesota","minnesota"
"27129","Renville","Minnesota","minnesota"
"27131","Rice","Minnesota","minnesota"
"27133","Rock","Minnesota","minnesota"
"27135","Roseau","Minnesota","minnesota"
"27137","St. Louis","Minnesota","minnesota"
"27139","Scott","Minnesota","minnesota"
"27141","Sherburne","Minnesota","minnesota"
"27143","Sibley","Minnesota","minnesota"
"27145","Stearns","Minnesota","minnesota"
"27147","Steele","Minnesota","minnesota"
"27149","Stevens","Minnesota","minnesota"
"27151","Swift","Minnesota","minnesota"
"27153","Todd","Minnesota","minnesota"
"27155","Traverse","Minnesota","minnesota"
"27157","Wabasha","Minnesota","minnesota"
"27159","Wadena","Minnesota","minnesota"
"27161","Waseca","Minnesota","minnesota"
"27163","Washington","Minnesota","minnesota"
"27165","Watonwan","Minnesota","minnesota"
"27167","Wilkin","Minnesota","minnesota"
"27169","Winona","Minnesota","minnesota"
"27171","Wright","Minnesota","minnesota"
"27173","Yellow Medicine","Minnesota","minnesota"
