"FIPS","County","State","caShort"
"09001","Fairfield","Connecticut","msk"
"09003","Hartford","Connecticut","msk"
"09005","Litchfield","Connecticut","msk"
"09007","Middlesex","Connecticut","msk"
"09009","New Haven","Connecticut","msk"
"09011","New London","Connecticut","msk"
"09013","Tolland","Connecticut","msk"
"25003","Berkshire","Massachusetts","msk"
"25013","Hampden","Massachusetts","msk"
"34001","Atlantic","New Jersey","msk"
"34003","Bergen","New Jersey","msk"
"34005","Burlington","New Jersey","msk"
"34007","Camden","New Jersey","msk"
"34013","Essex","New Jersey","msk"
"34015","Gloucester","New Jersey","msk"
"34017","Hudson","New Jersey","msk"
"34019","Hunterdon","New Jersey","msk"
"34021","Mercer","New Jersey","msk"
"34023","Middlesex","New Jersey","msk"
"34025","Monmouth","New Jersey","msk"
"34027","Morris","New Jersey","msk"
"34029","Ocean","New Jersey","msk"
"34031","Passaic","New Jersey","msk"
"34035","Somerset","New Jersey","msk"
"34037","Sussex","New Jersey","msk"
"34039","Union","New Jersey","msk"
"34041","Warren","New Jersey","msk"
"36005","Bronx","New York","msk"
"36021","Columbia","New York","msk"
"36025","Delaware","New York","msk"
"36027","Dutchess","New York","msk"
"36039","Greene","New York","msk"
"36047","Kings","New York","msk"
"36059","Nassau","New York","msk"
"36061","New York","New York","msk"
"36071","Orange","New York","msk"
"36079","Putnam","New York","msk"
"36081","Queens","New York","msk"
"36085","Richmond","New York","msk"
"36087","Rockland","New York","msk"
"36103","Suffolk","New York","msk"
"36105","Sullivan","New York","msk"
"36111","Ulster","New York","msk"
"36119","Westchester","New York","msk"
"42011","Berks","Pennsylvania","msk"
"42017","Bucks","Pennsylvania","msk"
"42025","Carbon","Pennsylvania","msk"
"42029","Chester","Pennsylvania","msk"
"42045","Delaware","Pennsylvania","msk"
"42069","Lackawanna","Pennsylvania","msk"
"42077","Lehigh","Pennsylvania","msk"
"42079","Luzerne","Pennsylvania","msk"
"42089","Monroe","Pennsylvania","msk"
"42091","Montgomery","Pennsylvania","msk"
"42095","Northampton","Pennsylvania","msk"
"42101","Philadelphia","Pennsylvania","msk"
"42103","Pike","Pennsylvania","msk"
"42107","Schuylkill","Pennsylvania","msk"
"42115","Susquehanna","Pennsylvania","msk"
"42127","Wayne","Pennsylvania","msk"
