"FIPS","County","State","caShort"
"31001","Adams","Nebraska","nebraska"
"31003","Antelope","Nebraska","nebraska"
"31005","Arthur","Nebraska","nebraska"
"31007","Banner","Nebraska","nebraska"
"31009","Blaine","Nebraska","nebraska"
"31011","Boone","Nebraska","nebraska"
"31013","Box Butte","Nebraska","nebraska"
"31015","Boyd","Nebraska","nebraska"
"31017","Brown","Nebraska","nebraska"
"31019","Buffalo","Nebraska","nebraska"
"31021","Burt","Nebraska","nebraska"
"31023","Butler","Nebraska","nebraska"
"31025","Cass","Nebraska","nebraska"
"31027","Cedar","Nebraska","nebraska"
"31029","Chase","Nebraska","nebraska"
"31031","Cherry","Nebraska","nebraska"
"31033","Cheyenne","Nebraska","nebraska"
"31035","Clay","Nebraska","nebraska"
"31037","Colfax","Nebraska","nebraska"
"31039","Cuming","Nebraska","nebraska"
"31041","Custer","Nebraska","nebraska"
"31043","Dakota","Nebraska","nebraska"
"31045","Dawes","Nebraska","nebraska"
"31047","Dawson","Nebraska","nebraska"
"31049","Deuel","Nebraska","nebraska"
"31051","Dixon","Nebraska","nebraska"
"31053","Dodge","Nebraska","nebraska"
"31055","Douglas","Nebraska","nebraska"
"31057","Dundy","Nebraska","nebraska"
"31059","Fillmore","Nebraska","nebraska"
"31061","Franklin","Nebraska","nebraska"
"31063","Frontier","Nebraska","nebraska"
"31065","Furnas","Nebraska","nebraska"
"31067","Gage","Nebraska","nebraska"
"31069","Garden","Nebraska","nebraska"
"31071","Garfield","Nebraska","nebraska"
"31073","Gosper","Nebraska","nebraska"
"31075","Grant","Nebraska","nebraska"
"31077","Greeley","Nebraska","nebraska"
"31079","Hall","Nebraska","nebraska"
"31081","Hamilton","Nebraska","nebraska"
"31083","Harlan","Nebraska","nebraska"
"31085","Hayes","Nebraska","nebraska"
"31087","Hitchcock","Nebraska","nebraska"
"31089","Holt","Nebraska","nebraska"
"31091","Hooker","Nebraska","nebraska"
"31093","Howard","Nebraska","nebraska"
"31095","Jefferson","Nebraska","nebraska"
"31097","Johnson","Nebraska","nebraska"
"31099","Kearney","Nebraska","nebraska"
"31101","Keith","Nebraska","nebraska"
"31103","Keya Paha","Nebraska","nebraska"
"31105","Kimball","Nebraska","nebraska"
"31107","Knox","Nebraska","nebraska"
"31109","Lancaster","Nebraska","nebraska"
"31111","Lincoln","Nebraska","nebraska"
"31113","Logan","Nebraska","nebraska"
"31115","Loup","Nebraska","nebraska"
"31117","McPherson","Nebraska","nebraska"
"31119","Madison","Nebraska","nebraska"
"31121","Merrick","Nebraska","nebraska"
"31123","Morrill","Nebraska","nebraska"
"31125","Nance","Nebraska","nebraska"
"31127","Nemaha","Nebraska","nebraska"
"31129","Nuckolls","Nebraska","nebraska"
"31131","Otoe","Nebraska","nebraska"
"31133","Pawnee","Nebraska","nebraska"
"31135","Perkins","Nebraska","nebraska"
"31137","Phelps","Nebraska","nebraska"
"31139","Pierce","Nebraska","nebraska"
"31141","Platte","Nebraska","nebraska"
"31143","Polk","Nebraska","nebraska"
"31145","Red Willow","Nebraska","nebraska"
"31147","Richardson","Nebraska","nebraska"
"31149","Rock","Nebraska","nebraska"
"31151","Saline","Nebraska","nebraska"
"31153","Sarpy","Nebraska","nebraska"
"31155","Saunders","Nebraska","nebraska"
"31157","Scotts Bluff","Nebraska","nebraska"
"31159","Seward","Nebraska","nebraska"
"31161","Sheridan","Nebraska","nebraska"
"31163","Sherman","Nebraska","nebraska"
"31165","Sioux","Nebraska","nebraska"
"31167","Stanton","Nebraska","nebraska"
"31169","Thayer","Nebraska","nebraska"
"31171","Thomas","Nebraska","nebraska"
"31173","Thurston","Nebraska","nebraska"
"31175","Valley","Nebraska","nebraska"
"31177","Washington","Nebraska","nebraska"
"31179","Wayne","Nebraska","nebraska"
"31181","Webster","Nebraska","nebraska"
"31183","Wheeler","Nebraska","nebraska"
"31185","York","Nebraska","nebraska"
