"FIPS","County","State","caShort"
"40001","Adair","Oklahoma","oklahoma"
"40003","Alfalfa","Oklahoma","oklahoma"
"40005","Atoka","Oklahoma","oklahoma"
"40007","Beaver","Oklahoma","oklahoma"
"40009","Beckham","Oklahoma","oklahoma"
"40011","Blaine","Oklahoma","oklahoma"
"40013","Bryan","Oklahoma","oklahoma"
"40015","Caddo","Oklahoma","oklahoma"
"40017","Canadian","Oklahoma","oklahoma"
"40019","Carter","Oklahoma","oklahoma"
"40021","Cherokee","Oklahoma","oklahoma"
"40023","Choctaw","Oklahoma","oklahoma"
"40025","Cimarron","Oklahoma","oklahoma"
"40027","Cleveland","Oklahoma","oklahoma"
"40029","Coal","Oklahoma","oklahoma"
"40031","Comanche","Oklahoma","oklahoma"
"40033","Cotton","Oklahoma","oklahoma"
"40035","Craig","Oklahoma","oklahoma"
"40037","Creek","Oklahoma","oklahoma"
"40039","Custer","Oklahoma","oklahoma"
"40041","Delaware","Oklahoma","oklahoma"
"40043","Dewey","Oklahoma","oklahoma"
"40045","Ellis","Oklahoma","oklahoma"
"40047","Garfield","Oklahoma","oklahoma"
"40049","Garvin","Oklahoma","oklahoma"
"40051","Grady","Oklahoma","oklahoma"
"40053","Grant","Oklahoma","oklahoma"
"40055","Greer","Oklahoma","oklahoma"
"40057","Harmon","Oklahoma","oklahoma"
"40059","Harper","Oklahoma","oklahoma"
"40061","Haskell","Oklahoma","oklahoma"
"40063","Hughes","Oklahoma","oklahoma"
"40065","Jackson","Oklahoma","oklahoma"
"40067","Jefferson","Oklahoma","oklahoma"
"40069","Johnston","Oklahoma","oklahoma"
"40071","Kay","Oklahoma","oklahoma"
"40073","Kingfisher","Oklahoma","oklahoma"
"40075","Kiowa","Oklahoma","oklahoma"
"40077","Latimer","Oklahoma","oklahoma"
"40079","Le Flore","Oklahoma","oklahoma"
"40081","Lincoln","Oklahoma","oklahoma"
"40083","Logan","Oklahoma","oklahoma"
"40085","Love","Oklahoma","oklahoma"
"40087","McClain","Oklahoma","oklahoma"
"40089","McCurtain","Oklahoma","oklahoma"
"40091","McIntosh","Oklahoma","oklahoma"
"40093","Major","Oklahoma","oklahoma"
"40095","Marshall","Oklahoma","oklahoma"
"40097","Mayes","Oklahoma","oklahoma"
"40099","Murray","Oklahoma","oklahoma"
"40101","Muskogee","Oklahoma","oklahoma"
"40103","Noble","Oklahoma","oklahoma"
"40105","Nowata","Oklahoma","oklahoma"
"40107","Okfuskee","Oklahoma","oklahoma"
"40109","Oklahoma","Oklahoma","oklahoma"
"40111","Okmulgee","Oklahoma","oklahoma"
"40113","Osage","Oklahoma","oklahoma"
"40115","Ottawa","Oklahoma","oklahoma"
"40117","Pawnee","Oklahoma","oklahoma"
"40119","Payne","Oklahoma","oklahoma"
"40121","Pittsburg","Oklahoma","oklahoma"
"40123","Pontotoc","Oklahoma","oklahoma"
"40125","Pottawatomie","Oklahoma","oklahoma"
"40127","Pushmataha","Oklahoma","oklahoma"
"40129","Roger Mills","Oklahoma","oklahoma"
"40131","Rogers","Oklahoma","oklahoma"
"40133","Seminole","Oklahoma","oklahoma"
"40135","Sequoyah","Oklahoma","oklahoma"
"40137","Stephens","Oklahoma","oklahoma"
"40139","Texas","Oklahoma","oklahoma"
"40141","Tillman","Oklahoma","oklahoma"
"40143","Tulsa","Oklahoma","oklahoma"
"40145","Wagoner","Oklahoma","oklahoma"
"40147","Washington","Oklahoma","oklahoma"
"40149","Washita","Oklahoma","oklahoma"
"40151","Woods","Oklahoma","oklahoma"
"40153","Woodward","Oklahoma","oklahoma"
