"FIPS","County","State","caShort"
"41001","Baker","Oregon","oregon"
"41003","Benton","Oregon","oregon"
"41005","Clackamas","Oregon","oregon"
"41007","Clatsop","Oregon","oregon"
"41009","Columbia","Oregon","oregon"
"41011","Coos","Oregon","oregon"
"41013","Crook","Oregon","oregon"
"41015","Curry","Oregon","oregon"
"41017","Deschutes","Oregon","oregon"
"41019","Douglas","Oregon","oregon"
"41021","Gilliam","Oregon","oregon"
"41023","Grant","Oregon","oregon"
"41025","Harney","Oregon","oregon"
"41027","Hood River","Oregon","oregon"
"41029","Jackson","Oregon","oregon"
"41031","Jefferson","Oregon","oregon"
"41033","Josephine","Oregon","oregon"
"41035","Klamath","Oregon","oregon"
"41037","Lake","Oregon","oregon"
"41039","Lane","Oregon","oregon"
"41041","Lincoln","Oregon","oregon"
"41043","Linn","Oregon","oregon"
"41045","Malheur","Oregon","oregon"
"41047","Marion","Oregon","oregon"
"41049","Morrow","Oregon","oregon"
"41051","Multnomah","Oregon","oregon"
"41053","Polk","Oregon","oregon"
"41055","Sherman","Oregon","oregon"
"41057","Tillamook","Oregon","oregon"
"41059","Umatilla","Oregon","oregon"
"41061","Union","Oregon","oregon"
"41063","Wallowa","Oregon","oregon"
"41065","Wasco","Oregon","oregon"
"41067","Washington","Oregon","oregon"
"41069","Wheeler","Oregon","oregon"
"41071","Yamhill","Oregon","oregon"
