"FIPS","County","State","caShort"
"39001","Adams","Ohio","osu"
"39003","Allen","Ohio","osu"
"39005","Ashland","Ohio","osu"
"39007","Ashtabula","Ohio","osu"
"39009","Athens","Ohio","osu"
"39011","Auglaize","Ohio","osu"
"39013","Belmont","Ohio","osu"
"39015","Brown","Ohio","osu"
"39017","Butler","Ohio","osu"
"39019","Carroll","Ohio","osu"
"39021","Champaign","Ohio","osu"
"39023","Clark","Ohio","osu"
"39025","Clermont","Ohio","osu"
"39027","Clinton","Ohio","osu"
"39029","Columbiana","Ohio","osu"
"39031","Coshocton","Ohio","osu"
"39033","Crawford","Ohio","osu"
"39035","Cuyahoga","Ohio","osu"
"39037","Darke","Ohio","osu"
"39039","Defiance","Ohio","osu"
"39041","Delaware","Ohio","osu"
"39043","Erie","Ohio","osu"
"39045","Fairfield","Ohio","osu"
"39047","Fayette","Ohio","osu"
"39049","Franklin","Ohio","osu"
"39051","Fulton","Ohio","osu"
"39053","Gallia","Ohio","osu"
"39055","Geauga","Ohio","osu"
"39057","Greene","Ohio","osu"
"39059","Guernsey","Ohio","osu"
"39061","Hamilton","Ohio","osu"
"39063","Hancock","Ohio","osu"
"39065","Hardin","Ohio","osu"
"39067","Harrison","Ohio","osu"
"39069","Henry","Ohio","osu"
"39071","Highland","Ohio","osu"
"39073","Hocking","Ohio","osu"
"39075","Holmes","Ohio","osu"
"39077","Huron","Ohio","osu"
"39079","Jackson","Ohio","osu"
"39081","Jefferson","Ohio","osu"
"39083","Knox","Ohio","osu"
"39085","Lake","Ohio","osu"
"39087","Lawrence","Ohio","osu"
"39089","Licking","Ohio","osu"
"39091","Logan","Ohio","osu"
"39093","Lorain","Ohio","osu"
"39095","Lucas","Ohio","osu"
"39097","Madison","Ohio","osu"
"39099","Mahoning","Ohio","osu"
"39101","Marion","Ohio","osu"
"39103","Medina","Ohio","osu"
"39105","Meigs","Ohio","osu"
"39107","Mercer","Ohio","osu"
"39109","Miami","Ohio","osu"
"39111","Monroe","Ohio","osu"
"39113","Montgomery","Ohio","osu"
"39115","Morgan","Ohio","osu"
"39117","Morrow","Ohio","osu"
"39119","Muskingum","Ohio","osu"
"39121","Noble","Ohio","osu"
"39123","Ottawa","Ohio","osu"
"39125","Paulding","Ohio","osu"
"39127","Perry","Ohio","osu"
"39129","Pickaway","Ohio","osu"
"39131","Pike","Ohio","osu"
"39133","Portage","Ohio","osu"
"39135","Preble","Ohio","osu"
"39137","Putnam","Ohio","osu"
"39139","Richland","Ohio","osu"
"39141","Ross","Ohio","osu"
"39143","Sandusky","Ohio","osu"
"39145","Scioto","Ohio","osu"
"39147","Seneca","Ohio","osu"
"39149","Shelby","Ohio","osu"
"39151","Stark","Ohio","osu"
"39153","Summit","Ohio","osu"
"39155","Trumbull","Ohio","osu"
"39157","Tuscarawas","Ohio","osu"
"39159","Union","Ohio","osu"
"39161","Van Wert","Ohio","osu"
"39163","Vinton","Ohio","osu"
"39165","Warren","Ohio","osu"
"39167","Washington","Ohio","osu"
"39169","Wayne","Ohio","osu"
"39171","Williams","Ohio","osu"
"39173","Wood","Ohio","osu"
"39175","Wyandot","Ohio","osu"
