"FIPS","County","State","caShort"
"10003","New Castle","Delaware","penn"
"34001","Atlantic","New Jersey","penn"
"34005","Burlington","New Jersey","penn"
"34007","Camden","New Jersey","penn"
"34015","Gloucester","New Jersey","penn"
"34021","Mercer","New Jersey","penn"
"34029","Ocean","New Jersey","penn"
"42017","Bucks","Pennsylvania","penn"
"42029","Chester","Pennsylvania","penn"
"42045","Delaware","Pennsylvania","penn"
"42091","Montgomery","Pennsylvania","penn"
"42101","Philadelphia","Pennsylvania","penn"
