"FIPS","County","State","caShort"
"34001","Atlantic","New Jersey","rutgers"
"34003","Bergen","New Jersey","rutgers"
"34005","Burlington","New Jersey","rutgers"
"34007","Camden","New Jersey","rutgers"
"34009","Cape May","New Jersey","rutgers"
"34011","Cumberland","New Jersey","rutgers"
"34013","Essex","New Jersey","rutgers"
"34015","Gloucester","New Jersey","rutgers"
"34017","Hudson","New Jersey","rutgers"
"34019","Hunterdon","New Jersey","rutgers"
"34021","Mercer","New Jersey","rutgers"
"34023","Middlesex","New Jersey","rutgers"
"34025","Monmouth","New Jersey","rutgers"
"34027","Morris","New Jersey","rutgers"
"34029","Ocean","New Jersey","rutgers"
"34031","Passaic","New Jersey","rutgers"
"34033","Salem","New Jersey","rutgers"
"34035","Somerset","New Jersey","rutgers"
"34037","Sussex","New Jersey","rutgers"
"34039","Union","New Jersey","rutgers"
"34041","Warren","New Jersey","rutgers"
