"FIPS","County","State","caShort"
"45001","Abbeville","South Carolina","south_carolina"
"45003","Aiken","South Carolina","south_carolina"
"45005","Allendale","South Carolina","south_carolina"
"45007","Anderson","South Carolina","south_carolina"
"45009","Bamberg","South Carolina","south_carolina"
"45011","Barnwell","South Carolina","south_carolina"
"45013","Beaufort","South Carolina","south_carolina"
"45015","Berkeley","South Carolina","south_carolina"
"45017","Calhoun","South Carolina","south_carolina"
"45019","Charleston","South Carolina","south_carolina"
"45021","Cherokee","South Carolina","south_carolina"
"45023","Chester","South Carolina","south_carolina"
"45025","Chesterfield","South Carolina","south_carolina"
"45027","Clarendon","South Carolina","south_carolina"
"45029","Colleton","South Carolina","south_carolina"
"45031","Darlington","South Carolina","south_carolina"
"45033","Dillon","South Carolina","south_carolina"
"45035","Dorchester","South Carolina","south_carolina"
"45037","Edgefield","South Carolina","south_carolina"
"45039","Fairfield","South Carolina","south_carolina"
"45041","Florence","South Carolina","south_carolina"
"45043","Georgetown","South Carolina","south_carolina"
"45045","Greenville","South Carolina","south_carolina"
"45047","Greenwood","South Carolina","south_carolina"
"45049","Hampton","South Carolina","south_carolina"
"45051","Horry","South Carolina","south_carolina"
"45053","Jasper","South Carolina","south_carolina"
"45055","Kershaw","South Carolina","south_carolina"
"45057","Lancaster","South Carolina","south_carolina"
"45059","Laurens","South Carolina","south_carolina"
"45061","Lee","South Carolina","south_carolina"
"45063","Lexington","South Carolina","south_carolina"
"45065","McCormick","South Carolina","south_carolina"
"45067","Marion","South Carolina","south_carolina"
"45069","Marlboro","South Carolina","south_carolina"
"45071","Newberry","South Carolina","south_carolina"
"45073","Oconee","South Carolina","south_carolina"
"45075","Orangeburg","South Carolina","south_carolina"
"45077","Pickens","South Carolina","south_carolina"
"45079","Richland","South Carolina","south_carolina"
"45081","Saluda","South Carolina","south_carolina"
"45083","Spartanburg","South Carolina","south_carolina"
"45085","Sumter","South Carolina","south_carolina"
"45087","Union","South Carolina","south_carolina"
"45089","Williamsburg","South Carolina","south_carolina"
"45091","York","South Carolina","south_carolina"
