FIPS,County,State
12009,Brevard,Florida
12015,Charlotte,Florida
12017,Citrus,Florida
12021,Collier,Florida
12027,DeSoto,Florida
12043,Glades,Florida
12049,Hardee,Florida
12051,Hendry,Florida
12053,Hernando,Florida
12055,Highlands,Florida
12057,Hillsborough,Florida
12069,Lake,Florida
12071,Lee,Florida
12081,Manatee,Florida
12083,Marion,Florida
12095,Orange,Florida
12097,Osceola,Florida
12101,Pasco,Florida
12103,Pinellas,Florida
12105,Polk,Florida
12115,Sarasota,Florida
12117,Seminole,Florida
12119,Sumter,Florida
