"FIPS","County","State","caShort"
"34001","Atlantic","New Jersey","temple"
"34005","Burlington","New Jersey","temple"
"34007","Camden","New Jersey","temple"
"34009","Cape May","New Jersey","temple"
"34011","Cumberland","New Jersey","temple"
"34015","Gloucester","New Jersey","temple"
"34021","Mercer","New Jersey","temple"
"34029","Ocean","New Jersey","temple"
"34033","Salem","New Jersey","temple"
"42011","Berks","Pennsylvania","temple"
"42017","Bucks","Pennsylvania","temple"
"42029","Chester","Pennsylvania","temple"
"42045","Delaware","Pennsylvania","temple"
"42091","Montgomery","Pennsylvania","temple"
"42101","Philadelphia","Pennsylvania","temple"
