"FIPS","County","State","caShort"
"01001","Autauga","Alabama","uab"
"01003","Baldwin","Alabama","uab"
"01005","Barbour","Alabama","uab"
"01007","Bibb","Alabama","uab"
"01009","Blount","Alabama","uab"
"01011","Bullock","Alabama","uab"
"01013","Butler","Alabama","uab"
"01015","Calhoun","Alabama","uab"
"01017","Chambers","Alabama","uab"
"01019","Cherokee","Alabama","uab"
"01021","Chilton","Alabama","uab"
"01023","Choctaw","Alabama","uab"
"01025","Clarke","Alabama","uab"
"01027","Clay","Alabama","uab"
"01029","Cleburne","Alabama","uab"
"01031","Coffee","Alabama","uab"
"01033","Colbert","Alabama","uab"
"01035","Conecuh","Alabama","uab"
"01037","Coosa","Alabama","uab"
"01039","Covington","Alabama","uab"
"01041","Crenshaw","Alabama","uab"
"01043","Cullman","Alabama","uab"
"01045","Dale","Alabama","uab"
"01047","Dallas","Alabama","uab"
"01049","DeKalb","Alabama","uab"
"01051","Elmore","Alabama","uab"
"01053","Escambia","Alabama","uab"
"01055","Etowah","Alabama","uab"
"01057","Fayette","Alabama","uab"
"01059","Franklin","Alabama","uab"
"01061","Geneva","Alabama","uab"
"01063","Greene","Alabama","uab"
"01065","Hale","Alabama","uab"
"01067","Henry","Alabama","uab"
"01069","Houston","Alabama","uab"
"01071","Jackson","Alabama","uab"
"01073","Jefferson","Alabama","uab"
"01075","Lamar","Alabama","uab"
"01077","Lauderdale","Alabama","uab"
"01079","Lawrence","Alabama","uab"
"01081","Lee","Alabama","uab"
"01083","Limestone","Alabama","uab"
"01085","Lowndes","Alabama","uab"
"01087","Macon","Alabama","uab"
"01089","Madison","Alabama","uab"
"01091","Marengo","Alabama","uab"
"01093","Marion","Alabama","uab"
"01095","Marshall","Alabama","uab"
"01097","Mobile","Alabama","uab"
"01099","Monroe","Alabama","uab"
"01101","Montgomery","Alabama","uab"
"01103","Morgan","Alabama","uab"
"01105","Perry","Alabama","uab"
"01107","Pickens","Alabama","uab"
"01109","Pike","Alabama","uab"
"01111","Randolph","Alabama","uab"
"01113","Russell","Alabama","uab"
"01115","St. Clair","Alabama","uab"
"01117","Shelby","Alabama","uab"
"01119","Sumter","Alabama","uab"
"01121","Talladega","Alabama","uab"
"01123","Tallapoosa","Alabama","uab"
"01125","Tuscaloosa","Alabama","uab"
"01127","Walker","Alabama","uab"
"01129","Washington","Alabama","uab"
"01131","Wilcox","Alabama","uab"
"01133","Winston","Alabama","uab"
