"FIPS","County","State","caShort"
"06003","Alpine","California","uc_davis"
"06005","Amador","California","uc_davis"
"06007","Butte","California","uc_davis"
"06009","Calaveras","California","uc_davis"
"06011","Colusa","California","uc_davis"
"06017","El Dorado","California","uc_davis"
"06021","Glenn","California","uc_davis"
"06047","Merced","California","uc_davis"
"06057","Nevada","California","uc_davis"
"06061","Placer","California","uc_davis"
"06067","Sacramento","California","uc_davis"
"06077","San Joaquin","California","uc_davis"
"06091","Sierra","California","uc_davis"
"06095","Solano","California","uc_davis"
"06099","Stanislaus","California","uc_davis"
"06101","Sutter","California","uc_davis"
"06103","Tehama","California","uc_davis"
"06113","Yolo","California","uc_davis"
"06115","Yuba","California","uc_davis"
