FIPS,County,State,caShort
6001,Alameda,California,ucsf
6007,Butte,California,ucsf
6011,Colusa,California,ucsf
6013,Contra Costa,California,ucsf
6019,Fresno,California,ucsf
6021,Glenn,California,ucsf
6033,Lake,California,ucsf
6039,Madera,California,ucsf
6041,Marin,California,ucsf
6045,Mendocino,California,ucsf
6047,Merced,California,ucsf
6053,Monterey,California,ucsf
6055,Napa,California,ucsf
6067,Sacramento,California,ucsf
6069,San Benito,California,ucsf
6075,San Francisco,California,ucsf
6077,San Joaquin,California,ucsf
6081,San Mateo,California,ucsf
6085,Santa Clara,California,ucsf
6087,Santa Cruz,California,ucsf
6095,Solano,California,ucsf
6097,Sonoma,California,ucsf
6099,Stanislaus,California,ucsf
6101,Sutter,California,ucsf
6113,Yolo,California,ucsf
