FIPS,County,State,name_short
12001,Alachua,Florida,ufl
12003,Baker,Florida,ufl
12007,Bradford,Florida,ufl
12017,Citrus,Florida,ufl
12019,Clay,Florida,ufl
12023,Columbia,Florida,ufl
12029,Dixie,Florida,ufl
12039,Gadsden,Florida,ufl
12041,Gilchrist,Florida,ufl
12047,Hamilton,Florida,ufl
12065,Jefferson,Florida,ufl
12067,Lafayette,Florida,ufl
12069,Lake,Florida,ufl
12073,Leon,Florida,ufl
12075,Levy,Florida,ufl
12079,Madison,Florida,ufl
12083,Marion,Florida,ufl
12107,Putnam,Florida,ufl
12119,Sumter,Florida,ufl
12121,Suwannee,Florida,ufl
12123,Taylor,Florida,ufl
12125,Union,Florida,ufl
12129,Wakulla,Florida,ufl
