"FIPS","County","State","caShort"
"21001","Adair","Kentucky","uky"
"21003","Allen","Kentucky","uky"
"21005","Anderson","Kentucky","uky"
"21007","Ballard","Kentucky","uky"
"21009","Barren","Kentucky","uky"
"21011","Bath","Kentucky","uky"
"21013","Bell","Kentucky","uky"
"21015","Boone","Kentucky","uky"
"21017","Bourbon","Kentucky","uky"
"21019","Boyd","Kentucky","uky"
"21021","Boyle","Kentucky","uky"
"21023","Bracken","Kentucky","uky"
"21025","Breathitt","Kentucky","uky"
"21027","Breckinridge","Kentucky","uky"
"21029","Bullitt","Kentucky","uky"
"21031","Butler","Kentucky","uky"
"21033","Caldwell","Kentucky","uky"
"21035","Calloway","Kentucky","uky"
"21037","Campbell","Kentucky","uky"
"21039","Carlisle","Kentucky","uky"
"21041","Carroll","Kentucky","uky"
"21043","Carter","Kentucky","uky"
"21045","Casey","Kentucky","uky"
"21047","Christian","Kentucky","uky"
"21049","Clark","Kentucky","uky"
"21051","Clay","Kentucky","uky"
"21053","Clinton","Kentucky","uky"
"21055","Crittenden","Kentucky","uky"
"21057","Cumberland","Kentucky","uky"
"21059","Daviess","Kentucky","uky"
"21061","Edmonson","Kentucky","uky"
"21063","Elliott","Kentucky","uky"
"21065","Estill","Kentucky","uky"
"21067","Fayette","Kentucky","uky"
"21069","Fleming","Kentucky","uky"
"21071","Floyd","Kentucky","uky"
"21073","Franklin","Kentucky","uky"
"21075","Fulton","Kentucky","uky"
"21077","Gallatin","Kentucky","uky"
"21079","Garrard","Kentucky","uky"
"21081","Grant","Kentucky","uky"
"21083","Graves","Kentucky","uky"
"21085","Grayson","Kentucky","uky"
"21087","Green","Kentucky","uky"
"21089","Greenup","Kentucky","uky"
"21091","Hancock","Kentucky","uky"
"21093","Hardin","Kentucky","uky"
"21095","Harlan","Kentucky","uky"
"21097","Harrison","Kentucky","uky"
"21099","Hart","Kentucky","uky"
"21101","Henderson","Kentucky","uky"
"21103","Henry","Kentucky","uky"
"21105","Hickman","Kentucky","uky"
"21107","Hopkins","Kentucky","uky"
"21109","Jackson","Kentucky","uky"
"21111","Jefferson","Kentucky","uky"
"21113","Jessamine","Kentucky","uky"
"21115","Johnson","Kentucky","uky"
"21117","Kenton","Kentucky","uky"
"21119","Knott","Kentucky","uky"
"21121","Knox","Kentucky","uky"
"21123","Larue","Kentucky","uky"
"21125","Laurel","Kentucky","uky"
"21127","Lawrence","Kentucky","uky"
"21129","Lee","Kentucky","uky"
"21131","Leslie","Kentucky","uky"
"21133","Letcher","Kentucky","uky"
"21135","Lewis","Kentucky","uky"
"21137","Lincoln","Kentucky","uky"
"21139","Livingston","Kentucky","uky"
"21141","Logan","Kentucky","uky"
"21143","Lyon","Kentucky","uky"
"21145","McCracken","Kentucky","uky"
"21147","McCreary","Kentucky","uky"
"21149","McLean","Kentucky","uky"
"21151","Madison","Kentucky","uky"
"21153","Magoffin","Kentucky","uky"
"21155","Marion","Kentucky","uky"
"21157","Marshall","Kentucky","uky"
"21159","Martin","Kentucky","uky"
"21161","Mason","Kentucky","uky"
"21163","Meade","Kentucky","uky"
"21165","Menifee","Kentucky","uky"
"21167","Mercer","Kentucky","uky"
"21169","Metcalfe","Kentucky","uky"
"21171","Monroe","Kentucky","uky"
"21173","Montgomery","Kentucky","uky"
"21175","Morgan","Kentucky","uky"
"21177","Muhlenberg","Kentucky","uky"
"21179","Nelson","Kentucky","uky"
"21181","Nicholas","Kentucky","uky"
"21183","Ohio","Kentucky","uky"
"21185","Oldham","Kentucky","uky"
"21187","Owen","Kentucky","uky"
"21189","Owsley","Kentucky","uky"
"21191","Pendleton","Kentucky","uky"
"21193","Perry","Kentucky","uky"
"21195","Pike","Kentucky","uky"
"21197","Powell","Kentucky","uky"
"21199","Pulaski","Kentucky","uky"
"21201","Robertson","Kentucky","uky"
"21203","Rockcastle","Kentucky","uky"
"21205","Rowan","Kentucky","uky"
"21207","Russell","Kentucky","uky"
"21209","Scott","Kentucky","uky"
"21211","Shelby","Kentucky","uky"
"21213","Simpson","Kentucky","uky"
"21215","Spencer","Kentucky","uky"
"21217","Taylor","Kentucky","uky"
"21219","Todd","Kentucky","uky"
"21221","Trigg","Kentucky","uky"
"21223","Trimble","Kentucky","uky"
"21225","Union","Kentucky","uky"
"21227","Warren","Kentucky","uky"
"21229","Washington","Kentucky","uky"
"21231","Wayne","Kentucky","uky"
"21233","Webster","Kentucky","uky"
"21235","Whitley","Kentucky","uky"
"21237","Wolfe","Kentucky","uky"
"21239","Woodford","Kentucky","uky"
