"FIPS","County","State","caShort"
"37001","Alamance","North Carolina","unc"
"37003","Alexander","North Carolina","unc"
"37005","Alleghany","North Carolina","unc"
"37007","Anson","North Carolina","unc"
"37009","Ashe","North Carolina","unc"
"37011","Avery","North Carolina","unc"
"37013","Beaufort","North Carolina","unc"
"37015","Bertie","North Carolina","unc"
"37017","Bladen","North Carolina","unc"
"37019","Brunswick","North Carolina","unc"
"37021","Buncombe","North Carolina","unc"
"37023","Burke","North Carolina","unc"
"37025","Cabarrus","North Carolina","unc"
"37027","Caldwell","North Carolina","unc"
"37029","Camden","North Carolina","unc"
"37031","Carteret","North Carolina","unc"
"37033","Caswell","North Carolina","unc"
"37035","Catawba","North Carolina","unc"
"37037","Chatham","North Carolina","unc"
"37039","Cherokee","North Carolina","unc"
"37041","Chowan","North Carolina","unc"
"37043","Clay","North Carolina","unc"
"37045","Cleveland","North Carolina","unc"
"37047","Columbus","North Carolina","unc"
"37049","Craven","North Carolina","unc"
"37051","Cumberland","North Carolina","unc"
"37053","Currituck","North Carolina","unc"
"37055","Dare","North Carolina","unc"
"37057","Davidson","North Carolina","unc"
"37059","Davie","North Carolina","unc"
"37061","Duplin","North Carolina","unc"
"37063","Durham","North Carolina","unc"
"37065","Edgecombe","North Carolina","unc"
"37067","Forsyth","North Carolina","unc"
"37069","Franklin","North Carolina","unc"
"37071","Gaston","North Carolina","unc"
"37073","Gates","North Carolina","unc"
"37075","Graham","North Carolina","unc"
"37077","Granville","North Carolina","unc"
"37079","Greene","North Carolina","unc"
"37081","Guilford","North Carolina","unc"
"37083","Halifax","North Carolina","unc"
"37085","Harnett","North Carolina","unc"
"37087","Haywood","North Carolina","unc"
"37089","Henderson","North Carolina","unc"
"37091","Hertford","North Carolina","unc"
"37093","Hoke","North Carolina","unc"
"37095","Hyde","North Carolina","unc"
"37097","Iredell","North Carolina","unc"
"37099","Jackson","North Carolina","unc"
"37101","Johnston","North Carolina","unc"
"37103","Jones","North Carolina","unc"
"37105","Lee","North Carolina","unc"
"37107","Lenoir","North Carolina","unc"
"37109","Lincoln","North Carolina","unc"
"37111","McDowell","North Carolina","unc"
"37113","Macon","North Carolina","unc"
"37115","Madison","North Carolina","unc"
"37117","Martin","North Carolina","unc"
"37119","Mecklenburg","North Carolina","unc"
"37121","Mitchell","North Carolina","unc"
"37123","Montgomery","North Carolina","unc"
"37125","Moore","North Carolina","unc"
"37127","Nash","North Carolina","unc"
"37129","New Hanover","North Carolina","unc"
"37131","Northampton","North Carolina","unc"
"37133","Onslow","North Carolina","unc"
"37135","Orange","North Carolina","unc"
"37137","Pamlico","North Carolina","unc"
"37139","Pasquotank","North Carolina","unc"
"37141","Pender","North Carolina","unc"
"37143","Perquimans","North Carolina","unc"
"37145","Person","North Carolina","unc"
"37147","Pitt","North Carolina","unc"
"37149","Polk","North Carolina","unc"
"37151","Randolph","North Carolina","unc"
"37153","Richmond","North Carolina","unc"
"37155","Robeson","North Carolina","unc"
"37157","Rockingham","North Carolina","unc"
"37159","Rowan","North Carolina","unc"
"37161","Rutherford","North Carolina","unc"
"37163","Sampson","North Carolina","unc"
"37165","Scotland","North Carolina","unc"
"37167","Stanly","North Carolina","unc"
"37169","Stokes","North Carolina","unc"
"37171","Surry","North Carolina","unc"
"37173","Swain","North Carolina","unc"
"37175","Transylvania","North Carolina","unc"
"37177","Tyrrell","North Carolina","unc"
"37179","Union","North Carolina","unc"
"37181","Vance","North Carolina","unc"
"37183","Wake","North Carolina","unc"
"37185","Warren","North Carolina","unc"
"37187","Washington","North Carolina","unc"
"37189","Watauga","North Carolina","unc"
"37191","Wayne","North Carolina","unc"
"37193","Wilkes","North Carolina","unc"
"37195","Wilson","North Carolina","unc"
"37197","Yadkin","North Carolina","unc"
"37199","Yancey","North Carolina","unc"
