"FIPS","County","State","caShort"
"35001","Bernalillo","New Mexico","unm"
"35003","Catron","New Mexico","unm"
"35005","Chaves","New Mexico","unm"
"35006","Cibola","New Mexico","unm"
"35007","Colfax","New Mexico","unm"
"35009","Curry","New Mexico","unm"
"35011","De Baca","New Mexico","unm"
"35013","Dona Ana","New Mexico","unm"
"35015","Eddy","New Mexico","unm"
"35017","Grant","New Mexico","unm"
"35019","Guadalupe","New Mexico","unm"
"35021","Harding","New Mexico","unm"
"35023","Hidalgo","New Mexico","unm"
"35025","Lea","New Mexico","unm"
"35027","Lincoln","New Mexico","unm"
"35028","Los Alamos","New Mexico","unm"
"35029","Luna","New Mexico","unm"
"35031","McKinley","New Mexico","unm"
"35033","Mora","New Mexico","unm"
"35035","Otero","New Mexico","unm"
"35037","Quay","New Mexico","unm"
"35039","Rio Arriba","New Mexico","unm"
"35041","Roosevelt","New Mexico","unm"
"35043","Sandoval","New Mexico","unm"
"35045","San Juan","New Mexico","unm"
"35047","San Miguel","New Mexico","unm"
"35049","Santa Fe","New Mexico","unm"
"35051","Sierra","New Mexico","unm"
"35053","Socorro","New Mexico","unm"
"35055","Taos","New Mexico","unm"
"35057","Torrance","New Mexico","unm"
"35059","Union","New Mexico","unm"
"35061","Valencia","New Mexico","unm"
