"FIPS","County","State","caShort"
"42003","Allegheny","Pennsylvania","upmc"
"42005","Armstrong","Pennsylvania","upmc"
"42007","Beaver","Pennsylvania","upmc"
"42009","Bedford","Pennsylvania","upmc"
"42013","Blair","Pennsylvania","upmc"
"42019","Butler","Pennsylvania","upmc"
"42021","Cambria","Pennsylvania","upmc"
"42023","Cameron","Pennsylvania","upmc"
"42027","Centre","Pennsylvania","upmc"
"42031","Clarion","Pennsylvania","upmc"
"42033","Clearfield","Pennsylvania","upmc"
"42039","Crawford","Pennsylvania","upmc"
"42047","Elk","Pennsylvania","upmc"
"42049","Erie","Pennsylvania","upmc"
"42051","Fayette","Pennsylvania","upmc"
"42053","Forest","Pennsylvania","upmc"
"42059","Greene","Pennsylvania","upmc"
"42061","Huntingdon","Pennsylvania","upmc"
"42063","Indiana","Pennsylvania","upmc"
"42065","Jefferson","Pennsylvania","upmc"
"42073","Lawrence","Pennsylvania","upmc"
"42083","McKean","Pennsylvania","upmc"
"42085","Mercer","Pennsylvania","upmc"
"42105","Potter","Pennsylvania","upmc"
"42111","Somerset","Pennsylvania","upmc"
"42121","Venango","Pennsylvania","upmc"
"42123","Warren","Pennsylvania","upmc"
"42125","Washington","Pennsylvania","upmc"
"42129","Westmoreland","Pennsylvania","upmc"
