"FIPS","County","State","caShort"
"48013","Atascosa","Texas","utsa"
"48019","Bandera","Texas","utsa"
"48025","Bee","Texas","utsa"
"48029","Bexar","Texas","utsa"
"48047","Brooks","Texas","utsa"
"48061","Cameron","Texas","utsa"
"48091","Comal","Texas","utsa"
"48127","Dimmit","Texas","utsa"
"48131","Duval","Texas","utsa"
"48137","Edwards","Texas","utsa"
"48163","Frio","Texas","utsa"
"48171","Gillespie","Texas","utsa"
"48187","Guadalupe","Texas","utsa"
"48215","Hidalgo","Texas","utsa"
"48247","Jim Hogg","Texas","utsa"
"48249","Jim Wells","Texas","utsa"
"48255","Karnes","Texas","utsa"
"48259","Kendall","Texas","utsa"
"48261","Kenedy","Texas","utsa"
"48265","Kerr","Texas","utsa"
"48271","Kinney","Texas","utsa"
"48273","Kleberg","Texas","utsa"
"48283","La Salle","Texas","utsa"
"48297","Live Oak","Texas","utsa"
"48311","McMullen","Texas","utsa"
"48323","Maverick","Texas","utsa"
"48325","Medina","Texas","utsa"
"48355","Nueces","Texas","utsa"
"48385","Real","Texas","utsa"
"48409","San Patricio","Texas","utsa"
"48427","Starr","Texas","utsa"
"48463","Uvalde","Texas","utsa"
"48465","Val Verde","Texas","utsa"
"48479","Webb","Texas","utsa"
"48489","Willacy","Texas","utsa"
"48493","Wilson","Texas","utsa"
"48505","Zapata","Texas","utsa"
"48507","Zavala","Texas","utsa"
