"FIPS","County","State","caShort"
"51003","Albemarle","Virginia","uva"
"51005","Alleghany","Virginia","uva"
"51009","Amherst","Virginia","uva"
"51011","Appomattox","Virginia","uva"
"51015","Augusta","Virginia","uva"
"51017","Bath","Virginia","uva"
"51019","Bedford County","Virginia","uva"
"51021","Bland","Virginia","uva"
"51023","Botetourt","Virginia","uva"
"51027","Buchanan","Virginia","uva"
"51029","Buckingham","Virginia","uva"
"51031","Campbell","Virginia","uva"
"51035","Carroll","Virginia","uva"
"51037","Charlotte","Virginia","uva"
"51043","Clarke","Virginia","uva"
"51045","Craig","Virginia","uva"
"51047","Culpeper","Virginia","uva"
"51049","Cumberland","Virginia","uva"
"51051","Dickenson","Virginia","uva"
"51061","Fauquier","Virginia","uva"
"51063","Floyd","Virginia","uva"
"51065","Fluvanna","Virginia","uva"
"51067","Franklin County","Virginia","uva"
"51069","Frederick","Virginia","uva"
"51071","Giles","Virginia","uva"
"51077","Grayson","Virginia","uva"
"51079","Greene","Virginia","uva"
"51083","Halifax","Virginia","uva"
"51089","Henry","Virginia","uva"
"51091","Highland","Virginia","uva"
"51105","Lee","Virginia","uva"
"51109","Louisa","Virginia","uva"
"51113","Madison","Virginia","uva"
"51121","Montgomery","Virginia","uva"
"51125","Nelson","Virginia","uva"
"51137","Orange","Virginia","uva"
"51139","Page","Virginia","uva"
"51141","Patrick","Virginia","uva"
"51143","Pittsylvania","Virginia","uva"
"51147","Prince Edward","Virginia","uva"
"51155","Pulaski","Virginia","uva"
"51157","Rappahannock","Virginia","uva"
"51161","Roanoke County","Virginia","uva"
"51163","Rockbridge","Virginia","uva"
"51165","Rockingham","Virginia","uva"
"51167","Russell","Virginia","uva"
"51169","Scott","Virginia","uva"
"51171","Shenandoah","Virginia","uva"
"51173","Smyth","Virginia","uva"
"51177","Spotsylvania","Virginia","uva"
"51179","Stafford","Virginia","uva"
"51185","Tazewell","Virginia","uva"
"51187","Warren","Virginia","uva"
"51191","Washington","Virginia","uva"
"51195","Wise","Virginia","uva"
"51197","Wythe","Virginia","uva"
"51520","Bristol","Virginia","uva"
"51530","Buena Vista","Virginia","uva"
"51540","Charlottesville","Virginia","uva"
"51580","Covington","Virginia","uva"
"51590","Danville","Virginia","uva"
"51630","Fredericksburg","Virginia","uva"
"51640","Galax","Virginia","uva"
"51660","Harrisonburg","Virginia","uva"
"51678","Lexington","Virginia","uva"
"51680","Lynchburg","Virginia","uva"
"51690","Martinsville","Virginia","uva"
"51720","Norton","Virginia","uva"
"51750","Radford","Virginia","uva"
"51770","Roanoke City","Virginia","uva"
"51775","Salem","Virginia","uva"
"51790","Staunton","Virginia","uva"
"51820","Waynesboro","Virginia","uva"
"51840","Winchester","Virginia","uva"
"54019","Fayette","West Virginia","uva"
"54025","Greenbrier","West Virginia","uva"
"54031","Hardy","West Virginia","uva"
"54039","Kanawha","West Virginia","uva"
"54047","McDowell","West Virginia","uva"
"54055","Mercer","West Virginia","uva"
"54063","Monroe","West Virginia","uva"
"54067","Nicholas","West Virginia","uva"
"54071","Pendleton","West Virginia","uva"
"54075","Pocahontas","West Virginia","uva"
"54081","Raleigh","West Virginia","uva"
"54089","Summers","West Virginia","uva"
"54109","Wyoming","West Virginia","uva"
