FIPS,County,State
50003,Bennington,Vermont
50025,Windham,Vermont
50021,Rutland,Vermont
50027,Windsor,Vermont
50001,Addison,Vermont
50005,Caledonia,Vermont
50007,Chittenden,Vermont
50011,Franklin,Vermont
50013,Grand Isle,Vermont
50015,Lamoille,Vermont
50017,Orange,Vermont
50019,Orleans,Vermont
50023,Washington,Vermont
50009,Essex,Vermont
36019,Clinton,New York
36031,Essex,New York
36033,Franklin,New York
36089,St. Lawrence,New York
36113,Warren,New York
36115,Washington,New York
