FIPS,County,State,caShort
1033,Colbert,Alabama,vandy
1071,Jackson,Alabama,vandy
1077,Lauderdale,Alabama,vandy
1083,Limestone,Alabama,vandy
1089,Madison,Alabama,vandy
21003,Allen,Kentucky,vandy
21007,Ballard,Kentucky,vandy
21009,Barren,Kentucky,vandy
21031,Butler,Kentucky,vandy
21033,Caldwell,Kentucky,vandy
21035,Calloway,Kentucky,vandy
21039,Carlisle,Kentucky,vandy
21047,Christian,Kentucky,vandy
21061,Edmonson,Kentucky,vandy
21075,Fulton,Kentucky,vandy
21083,Graves,Kentucky,vandy
21105,Hickman,Kentucky,vandy
21107,Hopkins,Kentucky,vandy
21141,Logan,Kentucky,vandy
21143,Lyon,Kentucky,vandy
21145,McCracken,Kentucky,vandy
21157,Marshall,Kentucky,vandy
21171,Monroe,Kentucky,vandy
21177,Muhlenberg,Kentucky,vandy
21213,Simpson,Kentucky,vandy
21219,Todd,Kentucky,vandy
21221,Trigg,Kentucky,vandy
21227,Warren,Kentucky,vandy
47001,Anderson,Tennessee,vandy
47003,Bedford,Tennessee,vandy
47005,Benton,Tennessee,vandy
47007,Bledsoe,Tennessee,vandy
47009,Blount,Tennessee,vandy
47011,Bradley,Tennessee,vandy
47013,Campbell,Tennessee,vandy
47015,Cannon,Tennessee,vandy
47017,Carroll,Tennessee,vandy
47019,Carter,Tennessee,vandy
47021,Cheatham,Tennessee,vandy
47023,Chester,Tennessee,vandy
47025,Claiborne,Tennessee,vandy
47027,Clay,Tennessee,vandy
47029,Cocke,Tennessee,vandy
47031,Coffee,Tennessee,vandy
47033,Crockett,Tennessee,vandy
47035,Cumberland,Tennessee,vandy
47037,Davidson,Tennessee,vandy
47039,Decatur,Tennessee,vandy
47041,DeKalb,Tennessee,vandy
47043,Dickson,Tennessee,vandy
47045,Dyer,Tennessee,vandy
47047,Fayette,Tennessee,vandy
47049,Fentress,Tennessee,vandy
47051,Franklin,Tennessee,vandy
47053,Gibson,Tennessee,vandy
47055,Giles,Tennessee,vandy
47057,Grainger,Tennessee,vandy
47059,Greene,Tennessee,vandy
47061,Grundy,Tennessee,vandy
47063,Hamblen,Tennessee,vandy
47065,Hamilton,Tennessee,vandy
47067,Hancock,Tennessee,vandy
47069,Hardeman,Tennessee,vandy
47071,Hardin,Tennessee,vandy
47073,Hawkins,Tennessee,vandy
47075,Haywood,Tennessee,vandy
47077,Henderson,Tennessee,vandy
47079,Henry,Tennessee,vandy
47081,Hickman,Tennessee,vandy
47083,Houston,Tennessee,vandy
47085,Humphreys,Tennessee,vandy
47087,Jackson,Tennessee,vandy
47089,Jefferson,Tennessee,vandy
47091,Johnson,Tennessee,vandy
47093,Knox,Tennessee,vandy
47095,Lake,Tennessee,vandy
47097,Lauderdale,Tennessee,vandy
47099,Lawrence,Tennessee,vandy
47101,Lewis,Tennessee,vandy
47103,Lincoln,Tennessee,vandy
47105,Loudon,Tennessee,vandy
47107,McMinn,Tennessee,vandy
47109,McNairy,Tennessee,vandy
47111,Macon,Tennessee,vandy
47113,Madison,Tennessee,vandy
47115,Marion,Tennessee,vandy
47117,Marshall,Tennessee,vandy
47119,Maury,Tennessee,vandy
47121,Meigs,Tennessee,vandy
47123,Monroe,Tennessee,vandy
47125,Montgomery,Tennessee,vandy
47127,Moore,Tennessee,vandy
47129,Morgan,Tennessee,vandy
47131,Obion,Tennessee,vandy
47133,Overton,Tennessee,vandy
47135,Perry,Tennessee,vandy
47137,Pickett,Tennessee,vandy
47139,Polk,Tennessee,vandy
47141,Putnam,Tennessee,vandy
47143,Rhea,Tennessee,vandy
47145,Roane,Tennessee,vandy
47147,Robertson,Tennessee,vandy
47149,Rutherford,Tennessee,vandy
47151,Scott,Tennessee,vandy
47153,Sequatchie,Tennessee,vandy
47155,Sevier,Tennessee,vandy
47157,Shelby,Tennessee,vandy
47159,Smith,Tennessee,vandy
47161,Stewart,Tennessee,vandy
47163,Sullivan,Tennessee,vandy
47165,Sumner,Tennessee,vandy
47167,Tipton,Tennessee,vandy
47169,Trousdale,Tennessee,vandy
47171,Unicoi,Tennessee,vandy
47173,Union,Tennessee,vandy
47175,Van Buren,Tennessee,vandy
47177,Warren,Tennessee,vandy
47179,Washington,Tennessee,vandy
47181,Wayne,Tennessee,vandy
47183,Weakley,Tennessee,vandy
47185,White,Tennessee,vandy
47187,Williamson,Tennessee,vandy
47189,Wilson,Tennessee,vandy
