"FIPS","County","State","caShort"
"51001","Accomack","Virginia","vcu"
"51007","Amelia","Virginia","vcu"
"51011","Appomattox","Virginia","vcu"
"51025","Brunswick","Virginia","vcu"
"51029","Buckingham","Virginia","vcu"
"51031","Campbell","Virginia","vcu"
"51033","Caroline","Virginia","vcu"
"51036","Charles City","Virginia","vcu"
"51037","Charlotte","Virginia","vcu"
"51041","Chesterfield","Virginia","vcu"
"51049","Cumberland","Virginia","vcu"
"51053","Dinwiddie","Virginia","vcu"
"51057","Essex","Virginia","vcu"
"51073","Gloucester","Virginia","vcu"
"51075","Goochland","Virginia","vcu"
"51081","Greensville","Virginia","vcu"
"51083","Halifax","Virginia","vcu"
"51085","Hanover","Virginia","vcu"
"51087","Henrico","Virginia","vcu"
"51089","Henry","Virginia","vcu"
"51093","Isle of Wight","Virginia","vcu"
"51095","James City","Virginia","vcu"
"51097","King and Queen","Virginia","vcu"
"51099","King George","Virginia","vcu"
"51101","King William","Virginia","vcu"
"51103","Lancaster","Virginia","vcu"
"51109","Louisa","Virginia","vcu"
"51111","Lunenburg","Virginia","vcu"
"51115","Mathews","Virginia","vcu"
"51117","Mecklenburg","Virginia","vcu"
"51119","Middlesex","Virginia","vcu"
"51127","New Kent","Virginia","vcu"
"51131","Northampton","Virginia","vcu"
"51133","Northumberland","Virginia","vcu"
"51135","Nottoway","Virginia","vcu"
"51143","Pittsylvania","Virginia","vcu"
"51145","Powhatan","Virginia","vcu"
"51147","Prince Edward","Virginia","vcu"
"51149","Prince George","Virginia","vcu"
"51159","Richmond County","Virginia","vcu"
"51175","Southampton","Virginia","vcu"
"51177","Spotsylvania","Virginia","vcu"
"51179","Stafford","Virginia","vcu"
"51181","Surry","Virginia","vcu"
"51183","Sussex","Virginia","vcu"
"51193","Westmoreland","Virginia","vcu"
"51199","York","Virginia","vcu"
"51550","Chesapeake","Virginia","vcu"
"51570","Colonial Heights","Virginia","vcu"
"51590","Danville","Virginia","vcu"
"51595","Emporia","Virginia","vcu"
"51620","Franklin City","Virginia","vcu"
"51630","Fredericksburg","Virginia","vcu"
"51650","Hampton","Virginia","vcu"
"51670","Hopewell","Virginia","vcu"
"51680","Lynchburg","Virginia","vcu"
"51690","Martinsville","Virginia","vcu"
"51700","Newport News","Virginia","vcu"
"51710","Norfolk","Virginia","vcu"
"51730","Petersburg","Virginia","vcu"
"51735","Poquoson","Virginia","vcu"
"51740","Portsmouth","Virginia","vcu"
"51760","Richmond City","Virginia","vcu"
"51800","Suffolk","Virginia","vcu"
"51810","Virginia Beach","Virginia","vcu"
"51830","Williamsburg","Virginia","vcu"
