FIPS,County,State,caShort
37161,Rutherford,North Carolina,wake
37035,Catawba,North Carolina,wake
37045,Cleveland,North Carolina,wake
37109,Lincoln,North Carolina,wake
37023,Burke,North Carolina,wake
37027,Caldwell,North Carolina,wake
37189,Watauga,North Carolina,wake
37071,Gaston,North Carolina,wake
37119,Mecklenburg,North Carolina,wake
37179,Union,North Carolina,wake
37007,Anson,North Carolina,wake
37025,Cabarrus,North Carolina,wake
37159,Rowan,North Carolina,wake
37167,Stanly,North Carolina,wake
37151,Randolph,North Carolina,wake
37003,Alexander,North Carolina,wake
37097,Iredell,North Carolina,wake
37171,Surry,North Carolina,wake
37193,Wilkes,North Carolina,wake
37197,Yadkin,North Carolina,wake
37057,Davidson,North Carolina,wake
37059,Davie,North Carolina,wake
37067,Forsyth,North Carolina,wake
37169,Stokes,North Carolina,wake
37081,Guilford,North Carolina,wake
37157,Rockingham,North Carolina,wake
45023,Chester,South Carolina,wake
45057,Lancaster,South Carolina,wake
45025,Chesterfield,South Carolina,wake
45091,York,South Carolina,wake
