"FIPS","County","State","caShort"
"26001","Alcona","Michigan","wayne_st"
"26007","Alpena","Michigan","wayne_st"
"26009","Antrim","Michigan","wayne_st"
"26011","Arenac","Michigan","wayne_st"
"26017","Bay","Michigan","wayne_st"
"26029","Charlevoix","Michigan","wayne_st"
"26031","Cheboygan","Michigan","wayne_st"
"26033","Chippewa","Michigan","wayne_st"
"26035","Clare","Michigan","wayne_st"
"26037","Clinton","Michigan","wayne_st"
"26039","Crawford","Michigan","wayne_st"
"26045","Eaton","Michigan","wayne_st"
"26047","Emmet","Michigan","wayne_st"
"26049","Genesee","Michigan","wayne_st"
"26051","Gladwin","Michigan","wayne_st"
"26055","Grand Traverse","Michigan","wayne_st"
"26057","Gratiot","Michigan","wayne_st"
"26063","Huron","Michigan","wayne_st"
"26065","Ingham","Michigan","wayne_st"
"26067","Ionia","Michigan","wayne_st"
"26069","Iosco","Michigan","wayne_st"
"26073","Isabella","Michigan","wayne_st"
"26079","Kalkaska","Michigan","wayne_st"
"26087","Lapeer","Michigan","wayne_st"
"26089","Leelanau","Michigan","wayne_st"
"26093","Livingston","Michigan","wayne_st"
"26095","Luce","Michigan","wayne_st"
"26097","Mackinac","Michigan","wayne_st"
"26099","Macomb","Michigan","wayne_st"
"26111","Midland","Michigan","wayne_st"
"26113","Missaukee","Michigan","wayne_st"
"26115","Monroe","Michigan","wayne_st"
"26117","Montcalm","Michigan","wayne_st"
"26119","Montmorency","Michigan","wayne_st"
"26125","Oakland","Michigan","wayne_st"
"26129","Ogemaw","Michigan","wayne_st"
"26135","Oscoda","Michigan","wayne_st"
"26137","Otsego","Michigan","wayne_st"
"26141","Presque Isle","Michigan","wayne_st"
"26143","Roscommon","Michigan","wayne_st"
"26145","Saginaw","Michigan","wayne_st"
"26147","St. Clair","Michigan","wayne_st"
"26151","Sanilac","Michigan","wayne_st"
"26155","Shiawassee","Michigan","wayne_st"
"26157","Tuscola","Michigan","wayne_st"
"26163","Wayne","Michigan","wayne_st"
